interaction_name	pathway_name	ligand	receptor	agonist	antagonist	co_A_receptor	co_I_receptor	evidence	annotation	interaction_name_2
BMP7_BMPR1B_ACVR2B	BMP	BMP7	BMPR1B_ACVR2B		BMP antagonist		BMP inhibition receptor	KEGG: hsa04350; PMID:26893264	Secreted Signaling	BMP7 - (BMPR1B+ACVR2B)
BMP7_BMPR1B_BMPR2	BMP	BMP7	BMPR1B_BMPR2		BMP antagonist		BMP inhibition receptor	KEGG: hsa04350; PMID:26893264	Secreted Signaling	BMP7 - (BMPR1B+BMPR2)
BMP8A_ACVR1_ACVR2A	BMP	BMP8A	ACVR1_ACVR2A		BMP antagonist		BMP inhibition receptor	KEGG: hsa04350; PMID:26893264	Secreted Signaling	BMP8A - (ACVR1+ACVR2A)
BMP8A_ACVR1_ACVR2B	BMP	BMP8A	ACVR1_ACVR2B		BMP antagonist		BMP inhibition receptor	KEGG: hsa04350; PMID:26893264	Secreted Signaling	BMP8A - (ACVR1+ACVR2B)
BMP8A_ACVR1_BMPR2	BMP	BMP8A	ACVR1_BMPR2		BMP antagonist		BMP inhibition receptor	KEGG: hsa04350; PMID:26893264	Secreted Signaling	BMP8A - (ACVR1+BMPR2)
BMP8A_BMPR1A_ACVR2A	BMP	BMP8A	BMPR1A_ACVR2A		BMP antagonist		BMP inhibition receptor	KEGG: hsa04350; PMID:26893264	Secreted Signaling	BMP8A - (BMPR1A+ACVR2A)
BMP8A_BMPR1A_ACVR2B	BMP	BMP8A	BMPR1A_ACVR2B		BMP antagonist		BMP inhibition receptor	KEGG: hsa04350; PMID:26893264	Secreted Signaling	BMP8A - (BMPR1A+ACVR2B)
BMP8A_BMPR1A_BMPR2	BMP	BMP8A	BMPR1A_BMPR2		BMP antagonist		BMP inhibition receptor	KEGG: hsa04350; PMID:26893264	Secreted Signaling	BMP8A - (BMPR1A+BMPR2)
BMP8A_BMPR1B_ACVR2A	BMP	BMP8A	BMPR1B_ACVR2A		BMP antagonist		BMP inhibition receptor	KEGG: hsa04350; PMID:26893264	Secreted Signaling	BMP8A - (BMPR1B+ACVR2A)
BMP8A_BMPR1B_ACVR2B	BMP	BMP8A	BMPR1B_ACVR2B		BMP antagonist		BMP inhibition receptor	KEGG: hsa04350; PMID:26893264	Secreted Signaling	BMP8A - (BMPR1B+ACVR2B)
BMP8A_BMPR1B_BMPR2	BMP	BMP8A	BMPR1B_BMPR2		BMP antagonist		BMP inhibition receptor	KEGG: hsa04350; PMID:26893264	Secreted Signaling	BMP8A - (BMPR1B+BMPR2)
BMP8B_ACVR1_ACVR2A	BMP	BMP8B	ACVR1_ACVR2A		BMP antagonist		BMP inhibition receptor	KEGG: hsa04350; PMID:26893264	Secreted Signaling	BMP8B - (ACVR1+ACVR2A)
BMP8B_ACVR1_ACVR2B	BMP	BMP8B	ACVR1_ACVR2B		BMP antagonist		BMP inhibition receptor	KEGG: hsa04350; PMID:26893264	Secreted Signaling	BMP8B - (ACVR1+ACVR2B)
BMP8B_ACVR1_BMPR2	BMP	BMP8B	ACVR1_BMPR2		BMP antagonist		BMP inhibition receptor	KEGG: hsa04350; PMID:26893264	Secreted Signaling	BMP8B - (ACVR1+BMPR2)
BMP8B_BMPR1A_ACVR2A	BMP	BMP8B	BMPR1A_ACVR2A		BMP antagonist		BMP inhibition receptor	KEGG: hsa04350; PMID:26893264	Secreted Signaling	BMP8B - (BMPR1A+ACVR2A)
BMP8B_BMPR1A_ACVR2B	BMP	BMP8B	BMPR1A_ACVR2B		BMP antagonist		BMP inhibition receptor	KEGG: hsa04350; PMID:26893264	Secreted Signaling	BMP8B - (BMPR1A+ACVR2B)
BMP8B_BMPR1A_BMPR2	BMP	BMP8B	BMPR1A_BMPR2		BMP antagonist		BMP inhibition receptor	KEGG: hsa04350; PMID:26893264	Secreted Signaling	BMP8B - (BMPR1A+BMPR2)
BMP8B_BMPR1B_ACVR2A	BMP	BMP8B	BMPR1B_ACVR2A		BMP antagonist		BMP inhibition receptor	KEGG: hsa04350; PMID:26893264	Secreted Signaling	BMP8B - (BMPR1B+ACVR2A)
BMP8B_BMPR1B_ACVR2B	BMP	BMP8B	BMPR1B_ACVR2B		BMP antagonist		BMP inhibition receptor	KEGG: hsa04350; PMID:26893264	Secreted Signaling	BMP8B - (BMPR1B+ACVR2B)
BMP8B_BMPR1B_BMPR2	BMP	BMP8B	BMPR1B_BMPR2		BMP antagonist		BMP inhibition receptor	KEGG: hsa04350; PMID:26893264	Secreted Signaling	BMP8B - (BMPR1B+BMPR2)
GDF9_ACVR1B_BMPR2	GDF	GDF9	ACVR1B_BMPR2					KEGG: hsa04350	Secreted Signaling	GDF9 - (ACVR1B+BMPR2)
GDF10_ACVR1B_ACVR2A	GDF	GDF10	ACVR1B_ACVR2A					KEGG: hsa04350	Secreted Signaling	GDF10 - (ACVR1B+ACVR2A)
GDF11_TGFBR1_ACVR2A	GDF	GDF11	TGFBR1_ACVR2A					KEGG: hsa04350	Secreted Signaling	GDF11 - (TGFBR1+ACVR2A)
GDF11_TGFBR1_ACVR2B	GDF	GDF11	TGFBR1_ACVR2B					KEGG: hsa04350	Secreted Signaling	GDF11 - (TGFBR1+ACVR2B)
GDF11_ACVR1B_ACVR2B	GDF	GDF11	ACVR1B_ACVR2B					KEGG: hsa04350	Secreted Signaling	GDF11 - (ACVR1B+ACVR2B)
GDF15_TGFBR2	GDF	GDF15	TGFBR2					KEGG: hsa04350	Secreted Signaling	GDF15 - TGFBR2
GDNF_GFRA1	GDNF	GDNF	GFRA1_RET					PMID: 11544105	Secreted Signaling	GDNF - GFRA1
NRTN_GFRA2	GDNF	NRTN	GFRA2_RET					PMID: 11544106	Secreted Signaling	NRTN - GFRA2
ARTN_GFRA3	GDNF	ARTN	GFRA3_RET					PMID: 11544107	Secreted Signaling	ARTN - GFRA3
ARTN_GFRA1	GDNF	ARTN	GFRA1_RET					PMID: 11544109	Secreted Signaling	ARTN - GFRA1
INHBA_ACVR1B_ACVR2A	ACTIVIN	INHBA	ACVR1B_ACVR2A		ACTIVIN antagonist		ACTIVIN inhibition receptor	KEGG: hsa04350	Secreted Signaling	INHBA - (ACVR1B+ACVR2A)
INHBA_ACVR1B_ACVR2B	ACTIVIN	INHBA	ACVR1B_ACVR2B		ACTIVIN antagonist		ACTIVIN inhibition receptor	KEGG: hsa04351	Secreted Signaling	INHBA - (ACVR1B+ACVR2B)
INHBB_ACVR1B_ACVR2A	ACTIVIN	INHBB	ACVR1B_ACVR2A		ACTIVIN antagonist		ACTIVIN inhibition receptor	KEGG: hsa04352	Secreted Signaling	INHBB - (ACVR1B+ACVR2A)
INHBB_ACVR1B_ACVR2B	ACTIVIN	INHBB	ACVR1B_ACVR2B		ACTIVIN antagonist		ACTIVIN inhibition receptor	KEGG: hsa04353	Secreted Signaling	INHBB - (ACVR1B+ACVR2B)
INHBB_ACVR1C_ACVR2A	ACTIVIN	INHBB	ACVR1C_ACVR2A		ACTIVIN antagonist		ACTIVIN inhibition receptor	KEGG: hsa04354	Secreted Signaling	INHBB - (ACVR1C+ACVR2A)
INHBB_ACVR1C_ACVR2B	ACTIVIN	INHBB	ACVR1C_ACVR2B		ACTIVIN antagonist		ACTIVIN inhibition receptor	KEGG: hsa04355	Secreted Signaling	INHBB - (ACVR1C+ACVR2B)
INHBABB_ACVR1B_ACVR2A	ACTIVIN	Activin AB	ACVR1B_ACVR2A		ACTIVIN antagonist		ACTIVIN inhibition receptor	PMID: 2457849; PMID: 22991378	Secreted Signaling	INHBABB - (ACVR1B+ACVR2A)
INHBABB_ACVR1B_ACVR2B	ACTIVIN	Activin AB	ACVR1B_ACVR2B		ACTIVIN antagonist		ACTIVIN inhibition receptor	PMID: 2457849; PMID: 22991378	Secreted Signaling	INHBABB - (ACVR1B+ACVR2B)
INHBABB_ACVR1C_ACVR2A	ACTIVIN	Activin AB	ACVR1C_ACVR2A		ACTIVIN antagonist		ACTIVIN inhibition receptor	PMID: 2457849; PMID: 22991378	Secreted Signaling	INHBABB - (ACVR1C+ACVR2A)
INHB_ACVR1C_ACVR2B	ACTIVIN	Activin AB	ACVR1C_ACVR2B		ACTIVIN antagonist		ACTIVIN inhibition receptor	PMID: 2457849; PMID: 22991378	Secreted Signaling	INHB - (ACVR1C+ACVR2B)
WNT1_FZD1_LRP5	WNT	WNT1	FZD1_LRP5	WNT agonist	WNT antagonist	WNT activation receptor	WNT inhibition receptor	KEGG: hsa04310; PMID: 23209147	Secreted Signaling	WNT1 - (FZD1+LRP5)
WNT1_FZD10_LRP5	WNT	WNT1	FZD10_LRP5	WNT agonist	WNT antagonist	WNT activation receptor	WNT inhibition receptor	KEGG: hsa04310; PMID: 23209147	Secreted Signaling	WNT1 - (FZD10+LRP5)
WNT1_FZD2_LRP5	WNT	WNT1	FZD2_LRP5	WNT agonist	WNT antagonist	WNT activation receptor	WNT inhibition receptor	KEGG: hsa04310; PMID: 23209147	Secreted Signaling	WNT1 - (FZD2+LRP5)
WNT1_FZD3_LRP5	WNT	WNT1	FZD3_LRP5	WNT agonist	WNT antagonist	WNT activation receptor	WNT inhibition receptor	KEGG: hsa04310; PMID: 23209147	Secreted Signaling	WNT1 - (FZD3+LRP5)
WNT1_FZD4_LRP5	WNT	WNT1	FZD4_LRP5	WNT agonist	WNT antagonist	WNT activation receptor	WNT inhibition receptor	KEGG: hsa04310; PMID: 23209147	Secreted Signaling	WNT1 - (FZD4+LRP5)
WNT1_FZD5_LRP5	WNT	WNT1	FZD5_LRP5	WNT agonist	WNT antagonist	WNT activation receptor	WNT inhibition receptor	KEGG: hsa04310; PMID: 23209147	Secreted Signaling	WNT1 - (FZD5+LRP5)
WNT1_FZD6_LRP5	WNT	WNT1	FZD6_LRP5	WNT agonist	WNT antagonist	WNT activation receptor	WNT inhibition receptor	KEGG: hsa04310; PMID: 23209147	Secreted Signaling	WNT1 - (FZD6+LRP5)
WNT1_FZD7_LRP5	WNT	WNT1	FZD7_LRP5	WNT agonist	WNT antagonist	WNT activation receptor	WNT inhibition receptor	KEGG: hsa04310; PMID: 23209147	Secreted Signaling	WNT1 - (FZD7+LRP5)
WNT1_FZD8_LRP5	WNT	WNT1	FZD8_LRP5	WNT agonist	WNT antagonist	WNT activation receptor	WNT inhibition receptor	KEGG: hsa04310; PMID: 23209147	Secreted Signaling	WNT1 - (FZD8+LRP5)
WNT1_FZD9_LRP5	WNT	WNT1	FZD9_LRP5	WNT agonist	WNT antagonist	WNT activation receptor	WNT inhibition receptor	KEGG: hsa04310; PMID: 23209147	Secreted Signaling	WNT1 - (FZD9+LRP5)
WNT10A_FZD1_LRP5	WNT	WNT10A	FZD1_LRP5	WNT agonist	WNT antagonist	WNT activation receptor	WNT inhibition receptor	KEGG: hsa04310; PMID: 23209147	Secreted Signaling	WNT10A - (FZD1+LRP5)
WNT10A_FZD10_LRP5	WNT	WNT10A	FZD10_LRP5	WNT agonist	WNT antagonist	WNT activation receptor	WNT inhibition receptor	KEGG: hsa04310; PMID: 23209147	Secreted Signaling	WNT10A - (FZD10+LRP5)
WNT10A_FZD2_LRP5	WNT	WNT10A	FZD2_LRP5	WNT agonist	WNT antagonist	WNT activation receptor	WNT inhibition receptor	KEGG: hsa04310; PMID: 23209147	Secreted Signaling	WNT10A - (FZD2+LRP5)
WNT10A_FZD3_LRP5	WNT	WNT10A	FZD3_LRP5	WNT agonist	WNT antagonist	WNT activation receptor	WNT inhibition receptor	KEGG: hsa04310; PMID: 23209147	Secreted Signaling	WNT10A - (FZD3+LRP5)
WNT10A_FZD4_LRP5	WNT	WNT10A	FZD4_LRP5	WNT agonist	WNT antagonist	WNT activation receptor	WNT inhibition receptor	KEGG: hsa04310; PMID: 23209147	Secreted Signaling	WNT10A - (FZD4+LRP5)
WNT10A_FZD5_LRP5	WNT	WNT10A	FZD5_LRP5	WNT agonist	WNT antagonist	WNT activation receptor	WNT inhibition receptor	KEGG: hsa04310; PMID: 23209147	Secreted Signaling	WNT10A - (FZD5+LRP5)
WNT10A_FZD6_LRP5	WNT	WNT10A	FZD6_LRP5	WNT agonist	WNT antagonist	WNT activation receptor	WNT inhibition receptor	KEGG: hsa04310; PMID: 23209147	Secreted Signaling	WNT10A - (FZD6+LRP5)
WNT10A_FZD7_LRP5	WNT	WNT10A	FZD7_LRP5	WNT agonist	WNT antagonist	WNT activation receptor	WNT inhibition receptor	KEGG: hsa04310; PMID: 23209147	Secreted Signaling	WNT10A - (FZD7+LRP5)
WNT10A_FZD8_LRP5	WNT	WNT10A	FZD8_LRP5	WNT agonist	WNT antagonist	WNT activation receptor	WNT inhibition receptor	KEGG: hsa04310; PMID: 23209147	Secreted Signaling	WNT10A - (FZD8+LRP5)
WNT10A_FZD9_LRP5	WNT	WNT10A	FZD9_LRP5	WNT agonist	WNT antagonist	WNT activation receptor	WNT inhibition receptor	KEGG: hsa04310; PMID: 23209147	Secreted Signaling	WNT10A - (FZD9+LRP5)
WNT10B_FZD1_LRP5	WNT	WNT10B	FZD1_LRP5	WNT agonist	WNT antagonist	WNT activation receptor	WNT inhibition receptor	KEGG: hsa04310; PMID: 23209147	Secreted Signaling	WNT10B - (FZD1+LRP5)
WNT10B_FZD10_LRP5	WNT	WNT10B	FZD10_LRP5	WNT agonist	WNT antagonist	WNT activation receptor	WNT inhibition receptor	KEGG: hsa04310; PMID: 23209147	Secreted Signaling	WNT10B - (FZD10+LRP5)
WNT10B_FZD2_LRP5	WNT	WNT10B	FZD2_LRP5	WNT agonist	WNT antagonist	WNT activation receptor	WNT inhibition receptor	KEGG: hsa04310; PMID: 23209147	Secreted Signaling	WNT10B - (FZD2+LRP5)
WNT10B_FZD3_LRP5	WNT	WNT10B	FZD3_LRP5	WNT agonist	WNT antagonist	WNT activation receptor	WNT inhibition receptor	KEGG: hsa04310; PMID: 23209147	Secreted Signaling	WNT10B - (FZD3+LRP5)
WNT10B_FZD4_LRP5	WNT	WNT10B	FZD4_LRP5	WNT agonist	WNT antagonist	WNT activation receptor	WNT inhibition receptor	KEGG: hsa04310; PMID: 23209147	Secreted Signaling	WNT10B - (FZD4+LRP5)
WNT10B_FZD5_LRP5	WNT	WNT10B	FZD5_LRP5	WNT agonist	WNT antagonist	WNT activation receptor	WNT inhibition receptor	KEGG: hsa04310; PMID: 23209147	Secreted Signaling	WNT10B - (FZD5+LRP5)
WNT10B_FZD6_LRP5	WNT	WNT10B	FZD6_LRP5	WNT agonist	WNT antagonist	WNT activation receptor	WNT inhibition receptor	KEGG: hsa04310; PMID: 23209147	Secreted Signaling	WNT10B - (FZD6+LRP5)
WNT10B_FZD7_LRP5	WNT	WNT10B	FZD7_LRP5	WNT agonist	WNT antagonist	WNT activation receptor	WNT inhibition receptor	KEGG: hsa04310; PMID: 23209147	Secreted Signaling	WNT10B - (FZD7+LRP5)
WNT10B_FZD8_LRP5	WNT	WNT10B	FZD8_LRP5	WNT agonist	WNT antagonist	WNT activation receptor	WNT inhibition receptor	KEGG: hsa04310; PMID: 23209147	Secreted Signaling	WNT10B - (FZD8+LRP5)
WNT10B_FZD9_LRP5	WNT	WNT10B	FZD9_LRP5	WNT agonist	WNT antagonist	WNT activation receptor	WNT inhibition receptor	KEGG: hsa04310; PMID: 23209147	Secreted Signaling	WNT10B - (FZD9+LRP5)
WNT2_FZD1_LRP5	WNT	WNT2	FZD1_LRP5	WNT agonist	WNT antagonist	WNT activation receptor	WNT inhibition receptor	KEGG: hsa04310; PMID: 23209147	Secreted Signaling	WNT2 - (FZD1+LRP5)
WNT2_FZD10_LRP5	WNT	WNT2	FZD10_LRP5	WNT agonist	WNT antagonist	WNT activation receptor	WNT inhibition receptor	KEGG: hsa04310; PMID: 23209147	Secreted Signaling	WNT2 - (FZD10+LRP5)
