CD4Tconv	Fibroblasts	Malignant	DC
RPS25	0.65	-0.45	-0.62	0
FCMR	0.65	-0.4	-0.43	-0.38
SH2D1A	0.65	-0.44	-0.42	-0.36
P2RY10	0.64	-0.41	-0.39	0
CD48	0.64	-0.85	-0.81	0
FAM177A1	0.63	-0.27	-0.4	-0.27
PASK	0.63	0	0	0
GZMM	0.63	-0.5	-0.47	-0.41
SKAP1	0.63	-0.56	-0.51	-0.44
HSPA8	0.62	-0.34	-1.15	0
FOXP3	0.62	0	0	0
GPR183	0.62	-1.16	-1.12	1.65
CD52	0.62	-1.84	-1.78	0
TNFAIP3	0.62	-0.45	-0.88	0
TNIK	0.62	-0.29	-0.26	0
GNG2	0.62	-0.76	-0.94	0
CD247	0.62	-0.68	-0.65	-0.55
CAMK4	0.61	-0.31	-0.35	-0.3
ANKRD12	0.61	-0.41	-0.33	0
EVL	0.61	-0.76	-0.91	-0.58
UCP2	0.61	-1.19	-0.95	0.41
IDS	0.61	-0.39	-0.28	0
TIGIT	0.61	-0.93	-0.89	-0.77
PPP1R2	0.6	-0.6	-0.45	0
LIMD2	0.6	-0.66	-1	0
ZAP70	0.6	-0.44	-0.43	-0.36
STK17B	0.6	-0.75	-0.73	0
RPS15A	0.6	-0.47	-0.41	0
PPP2R5C	0.6	-0.36	-0.29	0
SH2D2A	0.6	-0.94	-0.9	-0.75
CDC42SE2	0.6	-0.49	-0.39	0
ACAP1	0.6	-0.68	-0.64	0
SEPT1	0.6	-0.66	-0.64	-0.46
BIRC3	0.59	-1.04	-0.8	1.27
WIPF1	0.59	-0.39	-0.88	0
CD69	0.59	-1.46	-1.41	-0.49
CD3G	0.59	-0.76	-0.73	-0.62
SLC2A3	0.58	-0.42	-1.45	0
PIK3R1	0.58	-0.4	-0.59	-0.44
ELF1	0.58	-0.73	-0.64	0
CNOT6L	0.57	-0.4	-0.39	0
TC2N	0.57	0	0.43	0
IKZF1	0.57	-0.44	-0.41	0.3
GPSM3	0.57	-0.71	-0.82	0
TTC39C	0.57	-0.34	-0.26	-0.32
MBP	0.57	-0.54	-0.26	0
EEF1A1	0.57	-0.42	-0.68	0.28
PTGER4	0.56	-0.4	-0.31	0.26
ITM2A	0.56	-0.96	-1.02	-0.89
STAT4	0.56	-0.43	-0.42	0
GPRIN3	0.56	-0.45	-0.43	0
DUSP4	0.56	-1.57	-1.51	0
GIMAP4	0.56	-0.5	-0.47	-0.36
GK	0.56	-0.5	-0.46	0.52
HLA-A	0.56	-0.33	-1.01	-0.39
TCF7	0.56	0	0	0
FAM46C	0.56	-0.71	-0.64	-0.38
RPS3	0.56	-0.44	-0.42	0
RPL39	0.56	-0.51	-0.51	0
GLTSCR2	0.56	-0.38	-0.36	0
PABPC1	0.56	-0.83	0.55	0.3
RPS12	0.55	-0.36	0.54	0
RPL21	0.55	-0.47	-0.57	0
STK17A	0.55	-0.46	-0.27	-0.48
CORO1A	0.55	-1.71	-1.63	0
TNFRSF25	0.54	-0.27	-0.25	0
FAS	0.54	-0.41	-0.45	0
SATB1	0.54	-0.33	-0.4	0
RPL32	0.54	-0.34	-0.48	0
ICAM3	0.54	-0.53	-0.61	0
SMCHD1	0.54	-0.45	-0.44	0
PIM2	0.54	-0.76	-0.73	0
RPL28	0.54	-0.43	-0.28	0
RPS14	0.54	-0.29	-0.41	0
FLT3LG	0.54	-0.3	-0.28	-0.27
RPL30	0.53	-0.56	0.62	0
CORO1B	0.53	-0.36	-0.25	0
CACYBP	0.53	-0.62	-0.6	-0.33
UBE2B	0.53	-0.33	-0.33	0
CCR4	0.53	0	0	0
TPT1	0.53	-0.26	-0.3	0
SYTL3	0.52	-0.68	-0.64	0
EMB	0.52	-0.43	-0.45	0
DOK2	0.52	-0.86	-0.83	0
HLA-E	0.52	-0.75	-0.64	-0.51
RPL13	0.52	-0.28	0	0
RPL3	0.52	-0.28	-0.39	0
CD27	0.52	-0.76	-0.73	-0.58
CD44	0.51	-0.66	-0.57	0
SOD1	0.51	-0.55	-0.46	-0.74
APBB1IP	0.51	-0.57	-0.6	0
TMSB4X	0.51	-0.49	-1.15	0.83
RARRES3	0.51	-0.47	-0.66	-0.71
SELPLG	0.5	-0.5	-0.49	0
ADGRE5	0.5	-0.8	-0.8	0
RPL14	0.5	0	-0.45	0
RPS27A	0.5	-0.4	0.47	0
AC090498	0.5	-0.35	0	0
AIM1	0.5	-0.27	0	0.26
G3BP2	0.5	-0.55	-0.65	0
CCNH	0.49	0	-0.39	0
PRKCH	0.49	-0.49	-0.34	-0.35
HCLS1	0.49	-0.97	-0.74	0.32
KLF6	0.49	-0.59	-0.31	0
CD37	0.49	-1.45	-1.39	-0.3
FAM107B	0.49	-0.36	-0.33	0
SLA	0.49	-0.55	-0.53	-0.38
RPS21	0.49	-0.65	0.26	0
CST7	0.49	-1.26	-1.36	0.92
MGAT4A	0.49	-0.42	-0.29	-0.25
TMEM173	0.49	-0.3	-0.3	-0.3
RPS28	0.49	-0.45	-0.53	0
FAM129A	0.49	-0.49	-0.26	0.26
CLDND1	0.49	-0.41	-0.32	-0.34
RNF125	0.48	-0.27	-0.26	0
DDX24	0.48	-0.35	-0.32	-0.27
ZC3H12D	0.48	0	0	0
ARHGAP15	0.48	-0.44	-0.43	0
RPLP2	0.48	-0.3	-0.42	0
CD96	0.48	-0.62	-0.58	-0.51
RPL11	0.48	-0.36	-0.3	0
PDE4B	0.48	-0.76	-0.84	0.34
RPS6	0.48	-0.31	-0.38	0
HNRNPLL	0.48	-0.5	-0.31	0
ETS1	0.48	-0.27	-0.54	-0.39
SAMSN1	0.48	-1.21	-1.16	0.39
RPL10	0.47	-0.41	-0.34	0
RPS3A	0.47	0.37	-0.37	0
SYNE2	0.47	-0.64	0.35	-0.62
DDIT4	0.47	-0.55	-0.3	0
SEPT9	0.47	-0.54	-0.3	0
MYADM	0.47	0.49	-0.84	0
RPSA	0.47	-0.41	-0.52	0
HSPH1	0.47	-0.35	-1.13	0
GATA3	0.47	-0.57	-0.54	-0.42
ARHGEF1	0.47	-0.44	-0.45	-0.27
EPB41	0.46	0	0	0
LAPTM5	0.46	-1.81	-1.76	0
RPS4X	0.46	-0.33	-0.37	0
RPL9	0.46	-0.35	-0.35	0
RHBDD2	0.46	-0.34	0.79	-0.47
CLEC2D	0.46	-0.62	-0.61	-0.42
B2M	0.45	-0.38	-1.03	0
TSPYL2	0.45	0.66	-0.55	0
EEF1B2	0.45	0.4	-0.6	0
RHOG	0.45	-0.47	-0.59	0.44
CTLA4	0.45	-0.65	-0.62	-0.5
SELK	0.45	-0.41	-0.32	0
CD4	0.45	-0.33	-0.32	0
JAK3	0.45	-0.35	-0.37	0
PER1	0.45	-0.31	-0.33	0
FAU	0.44	-0.43	-0.43	0
FKBP5	0.44	-0.28	-0.33	0
BCAS2	0.44	-0.46	-0.29	0
GYPC	0.44	0.49	-0.92	-0.27
HLA-B	0.44	-0.77	-1.31	0
MCL1	0.44	-0.48	-0.49	0
RPL19	0.44	-0.35	-0.27	0
RPL36AL	0.44	-0.33	-0.53	0
ELOVL5	0.44	-0.26	-0.47	0
SMAP2	0.44	-0.42	-0.41	0
NFATC2	0.44	-0.28	-0.44	0
RHOF	0.43	-0.57	-0.37	0.5
EEF1D	0.43	-0.26	-0.46	-0.27
SOCS1	0.43	-0.52	-0.43	0.33
RNF149	0.43	-0.3	-0.36	0
ARID4B	0.43	-0.32	-0.3	0
PDE3B	0.43	-0.34	-0.32	-0.28
SF1	0.43	-0.31	0	0
RPL23A	0.43	-0.43	0	0
EVI2B	0.43	-0.43	-0.41	0
RPL17	0.43	-0.32	-0.39	0
ZC3HAV1	0.43	-0.47	-0.42	0
RPS10	0.43	-0.39	0.34	0
LIME1	0.43	-0.26	0	0
GLIPR1	0.43	-0.59	-0.59	0
MBNL1	0.43	-0.5	-0.34	0
ARL4C	0.43	-0.61	-0.58	0.4
SRSF7	0.43	-0.7	-0.38	0
EPC1	0.42	-0.29	-0.32	0
RPS16	0.42	-0.35	0.28	0
ITGA4	0.42	-0.42	-0.52	0
RGS1	0.42	-1.73	-1.68	0.51
TNFRSF1B	0.42	-0.95	-0.92	0
ARID5B	0.42	-0.97	-0.59	-0.71
DNAJA1	0.42	-0.31	-0.73	0
LINC00861	0.42	0	0	0
CMTM7	0.42	-0.26	-0.28	0
CIB1	0.41	-0.32	-0.64	0
RPL26	0.41	-0.37	-0.43	0
LCP1	0.41	-1.19	-1.13	0.82
EVI2A	0.41	-0.25	-0.31	0
SLC38A1	0.41	-0.56	0	0
CARD16	0.41	-0.78	-0.76	0
GPBP1	0.41	-0.4	-0.39	0
BCL11B	0.41	0	0	0
FNBP1	0.41	-0.46	-0.48	0.58
HCST	0.41	-1.2	-1.15	0
DENND2D	0.41	-0.32	0	0
RPL36	0.41	-0.29	-0.26	0
SH3KBP1	0.41	-0.37	-0.52	0
CD40LG	0.41	0	0	0
MAL	0.41	0	0	0
GIMAP1	0.41	-0.25	0	0
IL10RA	0.41	-0.5	-0.49	0.39
KIAA1551	0.41	-0.43	-0.25	-0.29
RPS23	0.4	-0.26	-0.61	0.28
CXCR3	0.4	-0.35	-0.34	0
TBC1D10C	0.4	-0.46	-0.43	-0.29
RNF213	0.4	-0.44	-0.32	0
NOP58	0.4	-0.5	-0.26	0
JAK1	0.4	-0.27	-0.59	0
RCAN3	0.4	-0.28	0	0
TOMM7	0.4	-0.36	0	0
RPLP1	0.4	-0.31	0.28	0
GSTK1	0.4	-0.37	-0.33	0
CCDC109B	0.4	0	-0.3	0
CHD1	0.4	-0.48	-0.44	0
RABGAP1L	0.39	-0.33	-0.28	0
HSP90AA1	0.39	-0.42	-0.65	0
RPS13	0.39	0.37	-0.51	0
HLA-C	0.39	-0.64	-0.89	0
COMMD6	0.39	0.3	-0.38	0
RPL5	0.39	-0.31	-0.36	0
IL27RA	0.39	-0.3	-0.27	0
GBP5	0.39	-0.37	-0.51	-0.43
TRAF1	0.39	-0.56	-0.56	0.93
TNFAIP8	0.39	-0.48	-0.43	0.7
BIN2	0.39	-0.38	-0.36	0
RPS4Y1	0.38	-0.38	-0.55	0
RPL29	0.38	-0.25	-0.33	0
SC5D	0.38	0	0	0
RAP1A	0.38	0	-0.34	0
PDCL3	0.38	-0.36	-0.29	0
IL2RB	0.38	-0.69	-0.66	-0.57
CYLD	0.38	-0.25	-0.25	0
DEF6	0.38	-0.54	-0.31	0
CYTH1	0.38	-0.38	-0.3	0.31
CD53	0.38	-0.85	-0.81	0
RPL18	0.38	-0.3	0.28	0
PDE4D	0.38	-0.4	-0.51	-0.51
IKZF3	0.37	-0.41	-0.38	-0.34
RPL6	0.37	-0.31	0.51	0
RPL37	0.37	-0.43	0.37	0
CHD2	0.37	-0.39	-0.32	0
TRAC	0.37	-0.3	-0.48	-0.4
RPS15	0.37	-0.37	0.36	0
ICAM2	0.37	-0.38	-0.37	0
HSPE1	0.37	-0.7	-0.42	0
USP15	0.37	-0.37	-0.33	0
AKNA	0.37	-0.42	-0.42	0
NR4A2	0.37	-0.91	-0.86	0.32
ARHGAP9	0.37	-0.58	-0.55	0
FBLN7	0.36	0	0	0
USP36	0.36	-0.3	-0.28	0
RPS18	0.36	-0.31	0.38	0
RPL4	0.36	-0.32	0.28	0
RPS26	0.36	-0.47	-0.35	0
COTL1	0.36	-0.82	-1.24	1.11
P2RY8	0.36	0	0	0
DUSP16	0.36	-0.29	-0.25	0
RELB	0.36	-0.38	-0.36	0.37
IL21R	0.36	-0.44	-0.42	0
ARHGAP4	0.36	-0.41	-0.38	0
OCIAD2	0.36	-0.49	0.28	-0.55
S1PR1	0.36	-0.28	-0.28	0
RPL38	0.36	-0.37	0.34	0
KMT2E	0.36	-0.48	-0.3	-0.26
LPXN	0.36	-0.54	-0.56	0
AES	0.36	0	-0.29	-0.29
TBC1D4	0.35	-0.27	-0.26	0.61
GCC2	0.35	0	-0.26	0
CELF2	0.35	-0.42	-0.66	0
TNFRSF18	0.35	-1.08	-0.72	-0.59
TNFRSF14	0.35	-0.39	-0.33	0
RGS10	0.35	-0.32	-0.53	0.72
TMEM2	0.35	-0.37	-0.28	-0.41
RPL18A	0.35	-0.25	-0.28	0
ISCA1	0.35	0.37	-0.26	-0.3
IQGAP2	0.35	0.34	0	0
PIM1	0.35	-0.35	-0.32	0
RPL13A	0.35	-0.42	0.34	0
TRAF3IP3	0.35	-0.4	-0.38	0
DNAJB6	0.35	-0.58	-0.28	0
HBP1	0.35	-0.33	-0.38	0
RPS19	0.35	-0.45	0.26	0
MAF	0.35	-0.29	-0.27	0
HERPUD2	0.35	-0.31	-0.26	0
TLK1	0.34	0	0	0
TNFSF8	0.34	0	0	0
S100A4	0.34	-0.32	-1.97	0
S1PR4	0.34	0	0	0
CCND3	0.34	-0.29	-0.37	0
R3HDM4	0.34	-0.27	-0.31	0
WAS	0.34	-0.6	-0.57	0.28
ARAP2	0.34	-0.3	0	0
TOX2	0.34	0	0	0
AKAP13	0.34	-0.34	-0.39	0.39
UBA52	0.34	-0.35	-0.56	0
AAK1	0.34	0	0	0
IL2RA	0.34	-0.52	-0.5	0
DAZAP2	0.34	-0.27	-0.28	0
ITGB2	0.34	-0.87	-0.85	0.63
GTF2B	0.34	-0.43	-0.25	0
PARP8	0.34	-0.29	-0.29	-0.26
RASSF5	0.33	-0.55	-0.34	0.47
GNB2L1	0.33	0	-0.47	0
CSRNP1	0.33	-0.33	-0.42	0
SNRPN	0.33	-0.3	-0.38	-0.3
OXNAD1	0.33	-0.34	-0.31	-0.27
THEM4	0.33	0	0	0
RNASET2	0.33	-0.61	-0.3	0.33
DDX6	0.32	-0.33	-0.27	0
INPP4B	0.32	0	0	0
EIF3F	0.32	0	-0.48	0
SF3A1	0.32	-0.27	0	0
LBH	0.32	-0.35	-0.34	-0.65
PPP1R16B	0.32	-0.33	-0.32	0
RSBN1	0.32	0	0	0
RPL41	0.32	-0.33	0.33	0
KCNA3	0.32	0	0	0
STAT3	0.32	-0.38	-0.35	0
CYFIP2	0.32	-0.36	-0.34	0
YWHAB	0.32	-0.3	0	0
HLA-F	0.32	-0.27	-0.52	0
MPZL3	0.32	0	0	0
NDUFV2	0.32	-0.33	0	0
HERC1	0.32	0	-0.27	0
RBL2	0.32	0	0	0
CDC14A	0.32	0	0	0
TERF2IP	0.32	-0.28	-0.37	-0.31
NSMCE3	0.32	0.31	0	0
WHSC1L1	0.32	-0.33	-0.26	-0.3
UBE2D3	0.32	-0.28	-0.29	0
TBCC	0.31	0	0	0
SUSD3	0.31	-0.3	-0.29	0
PHF1	0.31	0	-0.27	0
LEF1	0.31	0	0	0
CALM1	0.31	-0.33	-0.34	-0.31
RASAL3	0.31	-0.37	-0.36	0
CIRBP	0.31	0.29	-0.44	0
DDX3X	0.31	-0.29	-0.33	0
PFDN5	0.31	-0.26	-0.32	0
SH3TC1	0.31	0.51	0	0
COX7C	0.31	-0.25	-0.27	0
EEF1G	0.31	-0.27	0.31	0
RPL10A	0.31	-0.26	0.37	0
RPS8	0.31	-0.29	0.36	0
PITPNC1	0.31	0	0	0
JUNB	0.31	0.81	-0.59	-0.33
RPL27A	0.31	-0.27	0.26	0
PYHIN1	0.31	0	0	0
SLAMF1	0.3	-0.29	-0.27	0
SCML4	0.3	0	0	0
MAPK1IP1L	0.3	-0.34	-0.32	0
GALM	0.3	-0.3	-0.35	0
NDFIP1	0.3	-0.47	-0.3	0
PTPN22	0.3	-0.53	-0.51	0
ANKRD44	0.3	-0.32	-0.37	0
LPIN2	0.3	0	-0.27	0
PNRC1	0.3	-0.52	-0.53	0.53
PSTPIP1	0.3	-0.36	-0.34	0
DOCK8	0.3	-0.49	-0.47	0
SORL1	0.3	0	0	0
PTPN7	0.3	-0.56	-0.53	0
FMNL1	0.3	-0.44	-0.45	0.31
PAIP2	0.29	0	-0.36	0
ITGAL	0.29	-0.27	-0.25	0
GBP2	0.29	0.38	-0.37	-0.36
FAM65B	0.29	0	0	0
TMC8	0.29	-0.35	-0.25	0
LCP2	0.29	-0.74	-0.74	0
DOCK10	0.29	-0.29	-0.31	0
DENND1C	0.29	0	0	0
CLK1	0.29	-0.33	-0.29	0
RASA3	0.29	0	0	0
RASGRP1	0.29	0	0	0
CYCS	0.29	-0.57	-0.42	0
LRRFIP1	0.29	-0.51	-0.47	0.44
ARL6IP5	0.29	0.32	-0.88	0
TMA7	0.29	-0.28	-0.39	0
ABRACL	0.29	-0.51	-0.4	0
TMC6	0.29	-0.48	-0.3	0
RPL35A	0.29	-0.47	0.42	0
CCNI	0.29	-0.34	-0.51	0
RPS20	0.28	-0.4	0.28	0
LSP1	0.28	-1.32	-1.21	1.11
ATXN7	0.28	0	0	0
CLEC2B	0.28	-0.48	-0.67	-0.49
HINT1	0.28	-0.35	-0.29	0
TESPA1	0.28	0	0	0
EIF4B	0.28	-0.31	0.28	0
IFITM1	0.28	-0.26	-1.21	-1.07
UQCRB	0.28	-0.3	-0.33	0
UBXN1	0.28	-0.27	-0.33	0
RPL22	0.27	-0.25	0.38	0
LPAR2	0.27	0	0	0
HNRNPA0	0.27	0	0.32	0
EIF1	0.27	-0.26	0	0
RPS7	0.27	-0.48	0.61	0
GPR132	0.27	-0.25	0	0.36
SEMA4D	0.27	-0.32	-0.28	0
MALAT1	0.27	1.01	-0.29	0.35
HAUS3	0.27	0	0	0
OAZ1	0.27	-0.53	-0.25	0
RUNX3	0.27	-0.53	-0.5	0.4
PTGES3	0.27	-0.45	0.44	0
EEF2	0.27	0	-0.31	0
IPCEF1	0.27	0	0	0
PDCD1	0.27	-0.45	-0.43	-0.28
RPL36A	0.27	-0.34	-0.28	0
PCED1B	0.26	-0.33	-0.31	-0.27
RPL37A	0.26	-0.32	-0.26	0
DDX5	0.26	-0.31	-0.3	0
PRKCQ	0.26	0	0	0
RPL24	0.25	-0.3	0.38	0
FGD3	0.25	0	0	0
GPR65	0.25	-0.51	-0.49	0.25
MAP4K1	0.25	-0.31	-0.29	0
ATP5C1	-0.25	0	0.47	0
PXDN	-0.25	0.39	0	0
ENAH	-0.25	0.5	0.44	0
TSPAN7	-0.25	0.78	0	0
DYNLL1	-0.25	-0.57	0.31	-0.43
H2AFJ	-0.25	0.58	0.85	0
MALL	-0.25	0.29	0.9	0
MAL2	-0.25	0	1.35	0
ZNHIT1	-0.25	0.3	0.27	0
POMP	-0.25	0.3	-0.31	0
NDUFS6	-0.25	-0.39	0.27	-0.29
UBE2E2	-0.25	0.27	0	0.27
SMARCB1	-0.25	0	0.42	0
CORO1C	-0.25	0.77	0	0
MFSD1	-0.25	0	0	0
DDR1	-0.25	0.29	0.63	0
PITX1	-0.25	0	1.06	0
SH3BP5	-0.25	0.3	-0.39	0
UQCRQ	-0.25	-0.26	0.44	0
LAD1	-0.25	0	0.74	0.35
EIF5A	-0.25	-0.25	0.39	0
NR2F2	-0.26	0.69	0	0
GGH	-0.26	0.91	0.51	0
EMILIN1	-0.26	0.91	0	0
PYCR1	-0.26	0.56	0.34	0
BCAP31	-0.26	0.43	0.52	-0.31
FAM49A	-0.26	0.5	-0.25	0.99
ATP1B1	-0.26	-0.3	0.84	0
C1orf54	-0.26	0	-0.25	0.32
FAM198B	-0.26	0.33	0	0
TMED9	-0.26	0.62	0	-0.31
IL13RA1	-0.26	0	0	0.41
PPA1	-0.26	-0.26	0.34	1.27
COX5B	-0.26	-0.36	0.44	0
SLC25A37	-0.26	-0.29	0.29	0
NDUFS8	-0.26	0.26	0.36	0
PHPT1	-0.26	0.57	-0.32	0
TPD52L1	-0.26	0	0.49	0
IFIT3	-0.26	0.39	-0.42	0
TK1	-0.26	0.86	0.57	0
ITGB4	-0.26	0.29	0.31	0
CFB	-0.26	0.64	1.76	0
TMED3	-0.26	0.54	0.58	0
YIF1A	-0.27	0.58	0	0
EPS8	-0.27	0	0.28	0
ITGBL1	-0.27	0.52	0	0
LAMB2	-0.27	0.39	0	0
ATP5J	-0.27	-0.27	0.37	0
CDC42EP4	-0.27	0.28	0.66	0
PROCR	-0.27	0.58	0	0
PRDX3	-0.27	0	0.34	0
KYNU	-0.27	0	0	0.66
DMKN	-0.27	0	0.84	0
C11orf31	-0.27	-0.41	0.32	0
PYCARD	-0.27	-0.27	0.27	0.27
AC013461	-0.27	0.43	0	0
GPX8	-0.27	0.82	0	0
MYOF	-0.27	0.3	0	0
KDELR3	-0.27	0.89	0	0
EIF6	-0.27	-0.28	0.58	0
BAG3	-0.27	-0.89	-0.68	0
VASN	-0.27	0.46	0	0
LMAN1	-0.27	0.65	0.37	-0.47
TMEM147	-0.27	0.29	0.29	0
FBLN5	-0.27	0.43	-0.31	-0.32
NDUFAB1	-0.27	-0.28	0.27	0
FAM46A	-0.27	0.29	0.74	0
VIMP	-0.27	0.32	1.05	0
GNB2	-0.27	0.25	0.51	0
ARL1	-0.27	0.43	0	-0.28
GOLM1	-0.27	0.81	0.5	0
SYPL1	-0.27	0.34	0.67	-0.54
FERMT2	-0.27	0.49	0	0
GNG10	-0.28	0.31	0	0
SULF2	-0.28	0.52	0	0
EID1	-0.28	0.58	-0.73	-0.45
ERH	-0.28	0.37	0.6	-0.36
PTGES	-0.28	0.32	0.32	0
RNH1	-0.28	0.35	-0.28	0.25
SEPW1	-0.28	0.3	-0.26	-0.47
NRP1	-0.28	0	-0.25	0
AGTRAP	-0.28	0.28	0.31	-0.39
PDGFRL	-0.28	0.83	-0.25	0
SEPT11	-0.28	0.82	-0.32	0
UAP1	-0.28	0.28	-0.31	-0.36
TJP1	-0.28	0.54	0.48	0
TPST1	-0.28	0.47	0	0
TNFRSF21	-0.28	0.31	0.46	0
WASL	-0.28	0.39	0.39	0
RNASE4	-0.28	0.78	0	0
GGCT	-0.28	-0.3	0.26	0
HM13	-0.28	0.46	0	-0.32
PON2	-0.28	0.32	0.45	0
MAGED1	-0.28	0.69	0.4	-0.31
BNIP3	-0.28	0.33	0.37	-0.35
PTN	-0.28	0.37	0.34	-0.26
MMP23B	-0.28	0.84	-0.26	-0.27
F3	-0.28	0.49	0.47	0
DSC3	-0.28	-0.26	0.72	-0.26
HEXB	-0.28	0.41	-0.34	0
GPX1	-0.28	0.68	0	0.49
DLC1	-0.28	0.47	-0.26	0
CD276	-0.28	0.63	0.31	0
DSC2	-0.29	-0.25	1.03	0
ATP6V1F	-0.29	0	0.33	0
TINAGL1	-0.29	-0.28	0.26	0
HAVCR2	-0.29	-0.45	-0.43	0.38
ARHGAP29	-0.29	1.32	0	-0.26
B3GNT5	-0.29	-0.31	0.62	0
PDIA4	-0.29	0.38	0.28	0
ITGAV	-0.29	0.54	0	0
NAA20	-0.29	0	0.45	0
UACA	-0.29	0.36	0	0
ADH5	-0.29	0.27	0.26	-0.38
RCN2	-0.29	0.33	0.71	-0.41
DDR2	-0.29	0.54	-0.26	-0.26
A4GALT	-0.29	0.27	0	0
COA3	-0.29	-0.38	0.32	-0.29
CSF1	-0.29	-0.39	-0.55	-0.36
EGFR	-0.29	-0.26	0.44	-0.27
SPINT1	-0.29	-0.26	1.05	0
WLS	-0.29	0.38	0	-0.25
NID1	-0.29	0.3	-0.26	0
PLIN3	-0.29	0.43	0.47	0
CPVL	-0.29	-0.27	0.42	1.18
PTK7	-0.29	0.91	0.3	-0.25
ERGIC3	-0.29	0.27	0.35	-0.33
LAMP2	-0.29	0.28	0.32	0
TMEM45A	-0.29	0.7	0.71	0
SEMA3C	-0.29	0.43	0	0
CYBB	-0.29	0.71	0	0
TP63	-0.29	-0.29	0.51	-0.27
CXCL16	-0.29	-0.27	0.28	1.22
ATRAID	-0.29	0.35	0.44	-0.39
VCL	-0.3	0.52	0.33	0
PLBD1	-0.3	0.36	0.37	0
SOX2	-0.3	-0.29	0.33	-0.27
BHLHE40	-0.3	1.06	-0.41	0.41
LTBP1	-0.3	0.49	0	-0.27
PDGFRA	-0.3	0.56	-0.27	0
ERRFI1	-0.3	-0.35	0.62	-0.34
PDIA3	-0.3	0.34	0.28	0
P4HA2	-0.3	0.61	0	0
CANX	-0.3	0.27	0.36	0
VEGFA	-0.3	0	0.37	0
KLRD1	-0.3	-0.44	-0.45	-0.41
MRC2	-0.3	0.79	-0.26	0
CYB5A	-0.3	0.3	0.47	0
SEPT10	-0.3	0.39	0.34	-0.27
PAPSS2	-0.3	0.47	-0.25	0
MGST2	-0.3	1.06	0.33	0
RABAC1	-0.3	0.84	-0.47	-0.58
UQCRH	-0.3	-0.43	0.6	0
