Id	Name	Type	Aliases
4993	OR2C1	GENE	hsa:4993,olfactory receptor family 2 subfamily C member 1,ENSG00000168158
3662	IRF4	GENE	hsa:3662,interferon regulatory factor 4,ENSG00000137265
2331	FMOD	GENE	hsa:2331,fibromodulin,ENSG00000122176
1000	CDH2	GENE	hsa:1000,cadherin 2,ENSG00000170558
2330	FMO5	GENE	hsa:2330,flavin containing dimethylaniline monoxygenase 5,ENSG00000131781
2328	FMO3	GENE	hsa:2328,flavin containing dimethylaniline monoxygenase 3,ENSG00000007933
2327	FMO2	GENE	hsa:2327,flavin containing dimethylaniline monoxygenase 2,ENSG00000094963
2326	FMO1	GENE	hsa:2326,flavin containing dimethylaniline monoxygenase 1,ENSG00000010932
2324	FLT4	GENE	hsa:2324,fms related receptor tyrosine kinase 4,ENSG00000037280
2323	FLT3LG	GENE	hsa:2323,fms related receptor tyrosine kinase 3 ligand,ENSG00000090554
2322	FLT3	GENE	hsa:2322,fms related receptor tyrosine kinase 3,ENSG00000122025
2321	FLT1	GENE	hsa:2321,fms related receptor tyrosine kinase 1,ENSG00000102755
4983	OPHN1	GENE	
4985	OPRD1	GENE	hsa:4985,opioid receptor delta 1,ENSG00000116329
3654	IRAK1	GENE	hsa:3654,interleukin 1 receptor associated kinase 1,ENSG00000184216
4986	OPRK1	GENE	hsa:4986,opioid receptor kappa 1,ENSG00000082556
3655	ITGA6	GENE	hsa:3655,integrin subunit alpha 6,ENSG00000091409
4987	OPRL1	GENE	hsa:4987,opioid related nociceptin receptor 1,ENSG00000125510,ENSG00000277044
3656	IRAK2	GENE	hsa:3656,interleukin 1 receptor associated kinase 2,ENSG00000134070
4988	OPRM1	GENE	hsa:4988,opioid receptor mu 1,ENSG00000112038
3658	IREB2	GENE	
2329	FMO4	GENE	hsa:2329,flavin containing dimethylaniline monoxygenase 4,ENSG00000076258
3659	IRF1	GENE	hsa:3659,interferon regulatory factor 1,ENSG00000125347
3670	ISL1	GENE	
3672	ITGA1	GENE	hsa:3672,integrin subunit alpha 1,ENSG00000213949
3673	ITGA2	GENE	hsa:3673,integrin subunit alpha 2,ENSG00000164171
2342	FNTB	GENE	hsa:2342,farnesyltransferase, CAAX box, beta,ENSG00000257365
1010	CDH12	GENE	
hsa-miR-150-3p	hsa-miR-150-3p	MIRNA	
hsa-miR-519d-5p	hsa-miR-519d-5p	MIRNA	
1008	CDH10	GENE	
2339	FNTA	GENE	hsa:2339,farnesyltransferase, CAAX box, alpha,ENSG00000168522
1007	CDH9	GENE	
1006	CDH8	GENE	
1005	CDH7	GENE	
2335	FN1	GENE	hsa:2335,fibronectin 1,ENSG00000115414
1004	CDH6	GENE	
1003	CDH5	GENE	hsa:1003,cadherin 5,ENSG00000179776
1002	CDH4	GENE	hsa:1002,cadherin 4,ENSG00000179242,ENSG00000280641
1001	CDH3	GENE	hsa:1001,cadherin 3,ENSG00000062038
4994	OR3A1	GENE	hsa:4994,olfactory receptor family 3 subfamily A member 1,ENSG00000180090
3663	IRF5	GENE	hsa:3663,interferon regulatory factor 5,ENSG00000128604
4995	OR3A2	GENE	hsa:4995,olfactory receptor family 3 subfamily A member 2,ENSG00000221882
3664	IRF6	GENE	
3665	IRF7	GENE	hsa:3665,interferon regulatory factor 7,ENSG00000185507,ENSG00000276561
3667	IRS1	GENE	hsa:3667,insulin receptor substrate 1,ENSG00000169047
4998	ORC1	GENE	hsa:4998,origin recognition complex subunit 1,ENSG00000085840
4999	ORC2	GENE	hsa:4999,origin recognition complex subunit 2,ENSG00000115942
3669	ISG20	GENE	
1009	CDH11	GENE	
3680	ITGA9	GENE	hsa:3680,integrin subunit alpha 9,ENSG00000144668
3681	ITGAD	GENE	hsa:3681,integrin subunit alpha D,ENSG00000156886
3682	ITGAE	GENE	hsa:3682,integrin subunit alpha E,ENSG00000083457
3683	ITGAL	GENE	hsa:3683,integrin subunit alpha L,ENSG00000005844
hsa-miR-101-3p	hsa-miR-101-3p	MIRNA	
3684	ITGAM	GENE	hsa:3684,integrin subunit alpha M,ENSG00000169896
2353	FOS	GENE	hsa:2353,Fos proto-oncogene, AP-1 transcription factor subunit,ENSG00000170345
1022	CDK7	GENE	hsa:1022,cyclin dependent kinase 7,ENSG00000134058,ENSG00000277273
1021	CDK6	GENE	hsa:1021,cyclin dependent kinase 6,ENSG00000105810
1020	CDK5	GENE	hsa:1020,cyclin dependent kinase 5,ENSG00000164885
2350	FOLR2	GENE	
hsa-let-7a-2-3p	hsa-let-7a-2-3p	MIRNA	
1019	CDK4	GENE	hsa:1019,cyclin dependent kinase 4,ENSG00000135446
2348	FOLR1	GENE	
1017	CDK2	GENE	hsa:1017,cyclin dependent kinase 2,ENSG00000123374
1016	CDH18	GENE	
1015	CDH17	GENE	hsa:1015,cadherin 17,ENSG00000079112
2346	FOLH1	GENE	hsa:2346,folate hydrolase 1,ENSG00000086205
1013	CDH15	GENE	hsa:1013,cadherin 15,ENSG00000129910
1012	CDH13	GENE	
3674	ITGA2B	GENE	hsa:3674,integrin subunit alpha 2b,ENSG00000005961
3675	ITGA3	GENE	hsa:3675,integrin subunit alpha 3,ENSG00000005884
3676	ITGA4	GENE	hsa:3676,integrin subunit alpha 4,ENSG00000115232
3678	ITGA5	GENE	hsa:3678,integrin subunit alpha 5,ENSG00000161638
3679	ITGA7	GENE	hsa:3679,integrin subunit alpha 7,ENSG00000135424
284252	KCTD1	GENE	
3690	ITGB3	GENE	hsa:3690,integrin subunit beta 3,ENSG00000259207
3691	ITGB4	GENE	hsa:3691,integrin subunit beta 4,ENSG00000132470
285521	COX18	GENE	
3693	ITGB5	GENE	hsa:3693,integrin subunit beta 5,ENSG00000082781
3694	ITGB6	GENE	hsa:3694,integrin subunit beta 6,ENSG00000115221
3695	ITGB7	GENE	hsa:3695,integrin subunit beta 7,ENSG00000139626
1032	CDKN2D	GENE	hsa:1032,cyclin dependent kinase inhibitor 2D,ENSG00000129355
1031	CDKN2C	GENE	hsa:1031,cyclin dependent kinase inhibitor 2C,ENSG00000123080
1030	CDKN2B	GENE	hsa:1030,cyclin dependent kinase inhibitor 2B,ENSG00000147883
hsa-miR-150-5p	hsa-miR-150-5p	MIRNA	
1029	CDKN2A	GENE	hsa:1029,cyclin dependent kinase inhibitor 2A,ENSG00000147889
2359	FPR3	GENE	hsa:2359,formyl peptide receptor 3,ENSG00000187474
1028	CDKN1C	GENE	hsa:1028,cyclin dependent kinase inhibitor 1C,ENSG00000129757,ENSG00000273707
1027	CDKN1B	GENE	hsa:1027,cyclin dependent kinase inhibitor 1B,ENSG00000111276
2358	FPR2	GENE	hsa:2358,formyl peptide receptor 2,ENSG00000171049
2357	FPR1	GENE	hsa:2357,formyl peptide receptor 1,ENSG00000171051
1026	CDKN1A	GENE	hsa:1026,cyclin dependent kinase inhibitor 1A,ENSG00000124762
1025	CDK9	GENE	hsa:1025,cyclin dependent kinase 9,ENSG00000136807
2356	FPGS	GENE	hsa:2356,folylpolyglutamate synthase,ENSG00000136877
1024	CDK8	GENE	
2355	FOSL2	GENE	hsa:2355,FOS like 2, AP-1 transcription factor subunit,ENSG00000075426
2354	FOSB	GENE	hsa:2354,FosB proto-oncogene, AP-1 transcription factor subunit,ENSG00000125740
3685	ITGAV	GENE	hsa:3685,integrin subunit alpha V,ENSG00000138448
3687	ITGAX	GENE	hsa:3687,integrin subunit alpha X,ENSG00000140678
3688	ITGB1	GENE	hsa:3688,integrin subunit beta 1,ENSG00000150093
3689	ITGB2	GENE	hsa:3689,integrin subunit beta 2,ENSG00000160255
1043	CD52	GENE	
259289	TAS2R43	GENE	
hsa-miR-644a	hsa-miR-644a	MIRNA	
1041	CDSN	GENE	
1040	CDS1	GENE	hsa:1040,CDP-diacylglycerol synthase 1,ENSG00000163624
259287	TAS2R41	GENE	
259286	TAS2R40	GENE	
259285	TAS2R39	GENE	
1036	CDO1	GENE	hsa:1036,cysteine dioxygenase type 1,ENSG00000129596
3696	ITGB8	GENE	hsa:3696,integrin subunit beta 8,ENSG00000105855
3698	ITIH2	GENE	
3699	ITIH3	GENE	
259294	TAS2R19	GENE	
259293	TAS2R30	GENE	
259292	TAS2R46	GENE	
259290	TAS2R31	GENE	
1054	CEBPG	GENE	hsa:1054,CCAAT enhancer binding protein gamma,ENSG00000153879
1053	CEBPE	GENE	hsa:1053,CCAAT enhancer binding protein epsilon,ENSG00000092067
1052	CEBPD	GENE	
1051	CEBPB	GENE	hsa:1051,CCAAT enhancer binding protein beta,ENSG00000172216
1050	CEBPA	GENE	hsa:1050,CCAAT enhancer binding protein alpha,ENSG00000245848
259296	TAS2R50	GENE	
259295	TAS2R20	GENE	
1048	CEACAM5	GENE	
1045	CDX2	GENE	hsa:1045,caudal type homeobox 2,ENSG00000165556
50700	RDH8	GENE	hsa:50700,retinol dehydrogenase 8,ENSG00000080511
59082	CARD18	GENE	hsa:59082,caspase recruitment domain family member 18,ENSG00000255501
hsa-miR-513c-5p	hsa-miR-513c-5p	MIRNA	
1066	CES1	GENE	hsa:1066,carboxylesterase 1,ENSG00000198848,ENSG00000262243
2395	FXN	GENE	hsa:2395,frataxin,ENSG00000165060
1063	CENPF	GENE	
1062	CENPE	GENE	
1060	CENPC	GENE	
11108	PRDM4	GENE	hsa:11108,PR/SET domain 4,ENSG00000110851
hsa-miR-30a-3p	hsa-miR-30a-3p	MIRNA	
1058	CENPA	GENE	
114112	TXNRD3	GENE	hsa:114112,thioredoxin reductase 3,ENSG00000197763
1056	CEL	GENE	hsa:1056,carboxyl ester lipase,ENSG00000170835
11100	HNRNPUL1	GENE	
85378	TUBGCP6	GENE	
11102	RPP14	GENE	
hsa-miR-186-3p	hsa-miR-186-3p	MIRNA	
11103	KRR1	GENE	
11105	PRDM7	GENE	hsa:11105,PR/SET domain 7,ENSG00000126856
25759	SHC2	GENE	hsa:25759,SHC adaptor protein 2,ENSG00000129946
1075	CTSC	GENE	hsa:1075,cathepsin C,ENSG00000109861
115426	UHRF2	GENE	
1073	CFL2	GENE	hsa:1073,cofilin 2,ENSG00000165410
1072	CFL1	GENE	hsa:1072,cofilin 1,ENSG00000172757
1071	CETP	GENE	hsa:1071,cholesteryl ester transfer protein,ENSG00000087237
11119	BTN3A1	GENE	
hsa-miR-26a-2-3p	hsa-miR-26a-2-3p	MIRNA	
hsa-miR-329-3p	hsa-miR-329-3p	MIRNA	
hsa-miR-18b-3p	hsa-miR-18b-3p	MIRNA	
1069	CETN2	GENE	
1068	CETN1	GENE	
85366	MYLK2	GENE	hsa:85366,myosin light chain kinase 2,ENSG00000101306
84033	OBSCN	GENE	
11113	CIT	GENE	
85365	ALG2	GENE	hsa:85365,ALG2 alpha-1,3/1,6-mannosyltransferase,ENSG00000119523
11112	HIBADH	GENE	hsa:11112,3-hydroxyisobutyrate dehydrogenase,ENSG00000106049
85363	TRIM5	GENE	hsa:85363,tripartite motif containing 5,ENSG00000132256
139420	PPP4R3C	GENE	hsa:139420,protein phosphatase 4 regulatory subunit 3C,ENSG00000224960
85360	SYDE1	GENE	
11116	CEP43	GENE	
1080	CFTR	GENE	hsa:1080,CF transmembrane conductance regulator,ENSG00000001626
84061	MAGT1	GENE	
1088	CEACAM8	GENE	
1087	CEACAM7	GENE	
1082	CGB3	GENE	
1081	CGA	GENE	hsa:1081,glycoprotein hormones, alpha polypeptide,ENSG00000135346
440275	EIF2AK4	GENE	hsa:440275,eukaryotic translation initiation factor 2 alpha kinase 4,ENSG00000128829
hsa-miR-186-5p	hsa-miR-186-5p	MIRNA	
85397	RGS8	GENE	
84063	KIRREL2	GENE	
84062	DTNBP1	GENE	
284273	PTGR3	GENE	hsa:284273,prostaglandin reductase 3,ENSG00000180011
403282	OR6C65	GENE	hsa:403282,olfactory receptor family 6 subfamily C member 65,ENSG00000205328
403284	OR6C68	GENE	hsa:403284,olfactory receptor family 6 subfamily C member 68,ENSG00000205327
84059	ADGRV1	GENE	
152404	IGSF11	GENE	hsa:152404,immunoglobulin superfamily member 11,ENSG00000144847
84057	MND1	GENE	
284266	SIGLEC15	GENE	
hsa-miR-342-3p	hsa-miR-342-3p	MIRNA	
hsa-miR-218-1-3p	hsa-miR-218-1-3p	MIRNA	
126129	CPT1C	GENE	hsa:126129,carnitine palmitoyltransferase 1C,ENSG00000169169
84085	FBXO30	GENE	
hsa-miR-518b	hsa-miR-518b	MIRNA	
126123	IZUMO2	GENE	
441531	PGAM4	GENE	hsa:441531,phosphoglycerate mutase family member 4,ENSG00000226784
hsa-miR-330-5p	hsa-miR-330-5p	MIRNA	
126119	JOSD2	GENE	
84078	KBTBD7	GENE	
84079	ANKRD27	GENE	
84076	TKTL2	GENE	hsa:84076,transketolase like 2,ENSG00000151005
hsa-miR-30a-5p	hsa-miR-30a-5p	MIRNA	
114131	UCN3	GENE	hsa:114131,urocortin 3,ENSG00000178473
114132	SIGLEC11	GENE	
114134	SLC2A13	GENE	
hsa-miR-18b-5p	hsa-miR-18b-5p	MIRNA	
hsa-miR-329-5p	hsa-miR-329-5p	MIRNA	
hsa-miR-330-3p	hsa-miR-330-3p	MIRNA	
11060	WWP2	GENE	
619279	ZNF704	GENE	
11065	UBE2C	GENE	
11064	CNTRL	GENE	
63982	ANO3	GENE	
23046	KIF21B	GENE	
23047	PDS5B	GENE	
23048	FNBP1	GENE	hsa:23048,formin binding protein 1,ENSG00000187239
23049	SMG1	GENE	hsa:23049,SMG1 nonsense mediated mRNA decay associated PI3K related kinase,ENSG00000157106
127385	OR10J5	GENE	hsa:127385,olfactory receptor family 10 subfamily J member 5,ENSG00000184155
23043	TNIK	GENE	
11066	SNRNP35	GENE	
50674	NEUROG3	GENE	hsa:50674,neurogenin 3,ENSG00000122859
11069	RAPGEF4	GENE	hsa:11069,Rap guanine nucleotide exchange factor 4,ENSG00000091428
152330	CNTN4	GENE	
11070	TMEM115	GENE	
11074	TRIM31	GENE	
11073	TOPBP1	GENE	hsa:11073,DNA topoisomerase II binding protein 1,ENSG00000163781
11075	STMN2	GENE	
23057	NMNAT2	GENE	hsa:23057,nicotinamide nucleotide adenylyltransferase 2,ENSG00000157064
23059	CLUAP1	GENE	
138050	HGSNAT	GENE	hsa:138050,heparan-alpha-glucosaminide N-acetyltransferase,ENSG00000165102
23053	ZSWIM8	GENE	
23054	NCOA6	GENE	
11078	TRIOBP	GENE	
11041	B4GAT1	GENE	hsa:11041,beta-1,4-glucuronyltransferase 1,ENSG00000174684
165679	SPTSSB	GENE	
114049	BUD23	GENE	
23028	KDM1A	GENE	hsa:23028,lysine demethylase 1A,ENSG00000004487
23020	SNRNP200	GENE	
85313	PPIL4	GENE	
11047	ADRM1	GENE	hsa:11047,ADRM1 26S proteasome ubiquitin receptor,ENSG00000130706
11046	SLC35D2	GENE	
343173	OR2T3	GENE	hsa:343173,olfactory receptor family 2 subfamily T member 3,ENSG00000196539,ENSG00000277113,ENSG00000278377
343172	OR2T8	GENE	hsa:343172,olfactory receptor family 2 subfamily T member 8,ENSG00000177462
343171	OR2W3	GENE	hsa:343171,olfactory receptor family 2 subfamily W member 3,ENSG00000238243
343170	OR14K1	GENE	hsa:343170,olfactory receptor family 14 subfamily K member 1,ENSG00000153230
11052	CPSF6	GENE	hsa:11052,cleavage and polyadenylation specific factor 6,ENSG00000111605
11051	NUDT21	GENE	hsa:11051,nudix hydrolase 21,ENSG00000167005
23035	PHLPP2	GENE	hsa:23035,PH domain and leucine rich repeat protein phosphatase 2,ENSG00000040199
23038	WDTC1	GENE	
23030	KDM4B	GENE	
23032	USP33	GENE	
85302	FBF1	GENE	
11056	DDX52	GENE	
343169	OR6F1	GENE	hsa:343169,olfactory receptor family 6 subfamily F member 1,ENSG00000169214
85301	COL27A1	GENE	
11059	WWP1	GENE	hsa:11059,WW domain containing E3 ubiquitin protein ligase 1,ENSG00000123124
403274	OR5H15	GENE	hsa:403274,olfactory receptor family 5 subfamily H member 15,ENSG00000233412
403277	OR5K3	GENE	hsa:403277,olfactory receptor family 5 subfamily K member 3,ENSG00000206536
403278	OR5K4	GENE	hsa:403278,olfactory receptor family 5 subfamily K member 4,ENSG00000196098
11021	RAB35	GENE	
11020	IFT27	GENE	
23002	DAAM1	GENE	hsa:23002,dishevelled associated activator of morphogenesis 1,ENSG00000100592
23007	PLCH1	GENE	hsa:23007,phospholipase C eta 1,ENSG00000114805
26999	CYFIP2	GENE	hsa:26999,cytoplasmic FMR1 interacting protein 2,ENSG00000055163
403273	OR5H14	GENE	hsa:403273,olfactory receptor family 5 subfamily H member 14,ENSG00000236032
11022	TDRKH	GENE	
11025	LILRB3	GENE	hsa:11025,leukocyte immunoglobulin like receptor B3,ENSG00000204577,ENSG00000277816,ENSG00000275019,ENSG00000274587
84002	B3GNT5	GENE	hsa:84002,UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 5,ENSG00000176597
11024	LILRA1	GENE	hsa:11024,leukocyte immunoglobulin like receptor A1,ENSG00000104974,ENSG00000277398,ENSG00000274935,ENSG00000275525
11027	LILRA2	GENE	hsa:11027,leukocyte immunoglobulin like receptor A2,ENSG00000239998,ENSG00000278634,ENSG00000274000,ENSG00000275290
11026	LILRA3	GENE	hsa:11026,leukocyte immunoglobulin like receptor A3,ENSG00000273884,ENSG00000278046,ENSG00000276175,ENSG00000275841
11031	RAB31	GENE	
hsa-miR-4701-5p	hsa-miR-4701-5p	MIRNA	
23013	SPEN	GENE	
23014	FBXO21	GENE	
23016	EXOSC7	GENE	
23019	CNOT1	GENE	
23011	RAB21	GENE	
11033	ADAP1	GENE	
85320	ABCC11	GENE	
11035	RIPK3	GENE	hsa:11035,receptor interacting serine/threonine kinase 3,ENSG00000129465,ENSG00000285379
11037	STON1	GENE	
139341	FUNDC1	GENE	hsa:139341,FUN14 domain containing 1,ENSG00000069509
403253	OR4A47	GENE	hsa:403253,olfactory receptor family 4 subfamily A member 47,ENSG00000237388
126070	ZNF440	GENE	hsa:126070,zinc finger protein 440,ENSG00000171295
403257	OR4C45	GENE	hsa:403257,olfactory receptor family 4 subfamily C member 45 (gene/pseudogene),ENSG00000260811
59067	IL21	GENE	hsa:59067,interleukin 21,ENSG00000138684
26974	ZNF285	GENE	hsa:26974,zinc finger protein 285,ENSG00000267508
11009	IL24	GENE	hsa:11009,interleukin 24,ENSG00000162892
85358	SHANK3	GENE	hsa:85358,SH3 and multiple ankyrin repeat domains 3,ENSG00000251322
11001	SLC27A2	GENE	
11000	SLC27A3	GENE	
11005	SPINK5	GENE	
11004	KIF2C	GENE	
11006	LILRB4	GENE	hsa:11006,leukocyte immunoglobulin like receptor B4,ENSG00000186818,ENSG00000278555,ENSG00000278279,ENSG00000276042,ENSG00000275730
403244	OR2T35	GENE	hsa:403244,olfactory receptor family 2 subfamily T member 35,ENSG00000177151
153642	ARSK	GENE	
11010	GLIPR1	GENE	
26985	AP3M1	GENE	
26986	PABPC1	GENE	hsa:26986,poly(A) binding protein cytoplasmic 1,ENSG00000070756
126068	ZNF441	GENE	hsa:126068,zinc finger protein 441,ENSG00000197044
26984	SEC22A	GENE	
127396	ZNF684	GENE	hsa:127396,zinc finger protein 684,ENSG00000117010
11019	LIAS	GENE	hsa:11019,lipoic acid synthetase,ENSG00000121897
114088	TRIM9	GENE	
403239	OR2T27	GENE	hsa:403239,olfactory receptor family 2 subfamily T member 27,ENSG00000187701
11014	KDELR2	GENE	
11015	KDELR3	GENE	
11017	SNRNP27	GENE	
163081	ZNF567	GENE	hsa:163081,zinc finger protein 567,ENSG00000189042
729873	TBC1D3	GENE	
285601	GPR150	GENE	
164395	TTLL9	GENE	
163071	ZNF114	GENE	hsa:163071,zinc finger protein 114,ENSG00000178150
259307	IL4I1	GENE	hsa:259307,interleukin 4 induced 1,ENSG00000104951
63908	NAPB	GENE	
50604	IL20	GENE	hsa:50604,interleukin 20,ENSG00000162891
63923	TNN	GENE	hsa:63923,tenascin N,ENSG00000120332
63922	CHTF18	GENE	
63925	ZNF335	GENE	
63924	CIDEC	GENE	hsa:63924,cell death inducing DFFA like effector c,ENSG00000187288
63916	ELMO2	GENE	hsa:63916,engulfment and cell motility 2,ENSG00000062598
63917	GALNT11	GENE	hsa:63917,polypeptide N-acetylgalactosaminyltransferase 11,ENSG00000178234
104909134	LINC02210-CRHR1	GENE	
50615	IL21R	GENE	hsa:50615,interleukin 21 receptor,ENSG00000103522
50614	GALNT9	GENE	hsa:50614,polypeptide N-acetylgalactosaminyltransferase 9,ENSG00000182870,ENSG00000288490
50617	ATP6V0A4	GENE	hsa:50617,ATPase H+ transporting V0 subunit a4,ENSG00000105929
50616	IL22	GENE	hsa:50616,interleukin 22,ENSG00000127318
50619	DEF6	GENE	
50618	ITSN2	GENE	
63931	MRPS14	GENE	
63934	ZNF667	GENE	hsa:63934,zinc finger protein 667,ENSG00000198046
163087	ZNF383	GENE	hsa:163087,zinc finger protein 383,ENSG00000188283
3704	ITPA	GENE	hsa:3704,inosine triphosphatase,ENSG00000125877
3705	ITPK1	GENE	hsa:3705,inositol-tetrakisphosphate 1-kinase,ENSG00000100605,ENSG00000274958
3706	ITPKA	GENE	hsa:3706,inositol-trisphosphate 3-kinase A,ENSG00000137825
3707	ITPKB	GENE	hsa:3707,inositol-trisphosphate 3-kinase B,ENSG00000143772
3708	ITPR1	GENE	hsa:3708,inositol 1,4,5-trisphosphate receptor type 1,ENSG00000150995
3709	ITPR2	GENE	hsa:3709,inositol 1,4,5-trisphosphate receptor type 2,ENSG00000123104
3700	ITIH4	GENE	
hsa-miR-149-5p	hsa-miR-149-5p	MIRNA	
3702	ITK	GENE	hsa:3702,IL2 inducible T cell kinase,ENSG00000113263
3703	STT3A	GENE	hsa:3703,STT3 oligosaccharyltransferase complex catalytic subunit A,ENSG00000134910
50628	GEMIN4	GENE	
hsa-miR-301a-3p	hsa-miR-301a-3p	MIRNA	
63940	GPSM3	GENE	hsa:63940,G protein signaling modulator 3,ENSG00000213654,ENSG00000233490,ENSG00000237052,ENSG00000236697,ENSG00000234508,ENSG00000234243,ENSG00000206314
63943	FKBPL	GENE	
258010	SVIP	GENE	hsa:258010,small VCP interacting protein,ENSG00000198168
23081	KDM4C	GENE	
3716	JAK1	GENE	hsa:3716,Janus kinase 1,ENSG00000162434
23082	PPRC1	GENE	
3717	JAK2	GENE	hsa:3717,Janus kinase 2,ENSG00000096968
3718	JAK3	GENE	hsa:3718,Janus kinase 3,ENSG00000105639
23087	TRIM35	GENE	
3710	ITPR3	GENE	hsa:3710,inositol 1,4,5-trisphosphate receptor type 3,ENSG00000096433
50632	CALY	GENE	hsa:50632,calcyon neuron specific vesicular protein,ENSG00000130643
3712	IVD	GENE	hsa:3712,isovaleryl-CoA dehydrogenase,ENSG00000128928
3713	IVL	GENE	
3714	JAG2	GENE	hsa:3714,jagged canonical Notch ligand 2,ENSG00000184916
50636	ANO7	GENE	
3726	JUNB	GENE	hsa:3726,JunB proto-oncogene, AP-1 transcription factor subunit,ENSG00000171223
23092	ARHGAP26	GENE	
3727	JUND	GENE	hsa:3727,JunD proto-oncogene, AP-1 transcription factor subunit,ENSG00000130522
23093	TTLL5	GENE	
3728	JUP	GENE	hsa:3728,junction plakoglobin,ENSG00000173801
23095	KIF1B	GENE	
23097	CDK19	GENE	
50640	PNPLA8	GENE	
23098	SARM1	GENE	
3720	JARID2	GENE	
151056	PLB1	GENE	hsa:151056,phospholipase B1,ENSG00000163803
hsa-miR-149-3p	hsa-miR-149-3p	MIRNA	
3725	JUN	GENE	hsa:3725,Jun proto-oncogene, AP-1 transcription factor subunit,ENSG00000177606
11081	KERA	GENE	
50649	ARHGEF4	GENE	hsa:50649,Rho guanine nucleotide exchange factor 4,ENSG00000136002
11083	DIDO1	GENE	
11085	ADAM30	GENE	
23067	SETD1B	GENE	hsa:23067,SET domain containing 1B, histone lysine methyltransferase,ENSG00000139718
163059	ZNF433	GENE	hsa:163059,zinc finger protein 433,ENSG00000197647
63967	CLSPN	GENE	
3737	KCNA2	GENE	
3738	KCNA3	GENE	
3739	KCNA4	GENE	
23062	GGA2	GENE	
23063	WAPL	GENE	
50650	ARHGEF3	GENE	
3730	ANOS1	GENE	
3732	CD82	GENE	hsa:3732,CD82 molecule,ENSG00000085117
3735	KARS1	GENE	hsa:3735,lysyl-tRNA synthetase 1,ENSG00000065427
3736	KCNA1	GENE	
11091	WDR5	GENE	hsa:11091,WD repeat domain 5,ENSG00000196363
11093	ADAMTS13	GENE	
11096	ADAMTS5	GENE	
63970	TP53AIP1	GENE	hsa:63970,tumor protein p53 regulated apoptosis inducing protein 1,ENSG00000120471
11095	ADAMTS8	GENE	
11098	PRSS23	GENE	
63971	KIF13A	GENE	
