CD4Tconv	Fibroblasts	Mono/Macro	Malignant	Plasma	Pericytes	CD8Tex	DC	Tprolif	B	Mast	Endothelial	Treg
RGCC	0.91	-0.4	0	-1.2	-0.86	-1.39	0.3	0	0.33	-0.96	-0.94	0.48	0
ICOS	0.9	-0.86	-0.84	-0.82	-0.83	-0.82	0.62	-0.67	0.49	-0.81	-0.75	-0.82	1.59
TSC22D3	0.9	-1.18	-0.99	-1.41	0.3	-0.78	0.73	-0.78	0.3	0.28	0	-1.16	0.51
BATF	0.89	-1.16	-0.91	-1.06	-1.03	-1.07	0.87	-0.65	0.68	-0.85	-0.35	-1.08	1.8
SRGN	0.88	-2.66	1.06	-2.61	-1.51	-2.36	0.36	0.93	0.29	-1.17	1.2	-1.33	0.75
IL32	0.87	-2.31	-2.17	-1.95	-2.48	0	0.74	-1.26	0.45	-2.41	-2.25	-1.04	1.64
CD3D	0.87	-1.38	-1.34	-1.34	-1.33	-1.33	0.91	-1.08	0.86	-1.3	-1.23	-1.32	1.05
GZMK	0.86	0	0	0	0	0	0.46	0	0.46	0	0	0	0
CD6	0.85	-0.5	-0.47	-0.47	-0.47	-0.48	0.4	-0.38	0.38	-0.46	-0.44	-0.47	0.46
FXYD5	0.85	-0.59	0	-0.83	-1.26	-0.76	0.29	0	0	-0.79	0.9	0.36	0.61
SELL	0.85	-0.53	-0.38	-0.5	-0.45	-0.5	-0.26	0	0	0.8	-0.45	-0.29	0.67
YPEL5	0.84	-0.76	-0.49	-0.53	-0.57	-0.71	0.6	0	0	1.04	-0.62	-0.76	0
CD28	0.83	-0.37	-0.32	-0.35	-0.34	-0.35	0	-0.27	0	-0.34	-0.32	-0.34	0.99
TRBC2	0.82	-0.91	-0.88	-0.88	-0.87	-0.87	0.62	-0.71	0.68	-0.58	-0.79	-0.86	0.73
KLRB1	0.81	-0.59	-0.57	-0.57	-0.56	-0.56	0.57	-0.44	0	-0.55	-0.51	-0.55	0.48
RPS27	0.81	-0.73	-0.74	-0.68	-1.78	-0.69	0.29	0	-0.33	0.92	-0.42	-0.91	0
CD5	0.8	-0.41	-0.39	-0.37	-0.39	-0.39	0.28	0	0.28	-0.38	-0.36	-0.38	0.78
TNFRSF4	0.8	-1.08	-0.92	-1.04	-0.97	-1.03	0.62	-0.48	0	-1	-0.32	0	2.42
ZFP36L2	0.8	-1.1	-0.79	-0.67	-0.84	-1.07	0.64	-1.11	0.42	-0.81	-0.55	-0.77	0
PBXIP1	0.79	-0.34	-0.5	-0.44	-0.52	-0.31	0.28	-0.38	0	0	-0.28	-0.41	0.9
DUSP2	0.79	-1.79	0.52	-1.24	-0.95	-1.86	0.37	0.37	0.41	0	0.33	-1.61	0.36
PTPRCAP	0.78	-1.69	-1.63	-1.64	-1	-1.63	0.64	-1.18	0.67	0.79	-1.25	-1.62	0.76
GIMAP7	0.78	-0.54	-0.43	-0.52	-0.52	-0.51	0.34	-0.41	0	-0.51	-0.47	0.39	0
PDCD4	0.77	-0.62	-0.52	-0.32	-0.68	-0.54	0.56	-0.47	0	-0.5	0	0	0.34
NR3C1	0.76	-0.66	-0.6	-0.81	-0.86	-0.35	0.25	-0.29	0.37	0.37	0	-0.66	0.34
CYTIP	0.75	-1.49	-0.7	-1.45	-0.31	-1.43	0.54	0	0.53	0.64	-1.18	-1.43	1.02
EML4	0.74	-0.53	0	-0.32	-0.82	-0.39	0.46	-0.28	0	-0.45	0	-0.37	0.44
LCK	0.74	-0.87	-0.83	-0.82	-0.82	-0.82	0.67	-0.69	0.66	-0.6	-0.77	-0.8	0.96
FYN	0.74	-0.48	-0.67	-0.71	-0.71	-0.54	0.36	-0.46	0.38	-0.66	-0.37	0	0.54
TRAT1	0.73	-0.34	-0.32	-0.32	-0.32	-0.32	0.39	-0.29	0	-0.31	-0.29	-0.31	0
RHOH	0.73	-1	-0.56	-0.97	-0.48	-0.96	0.41	-0.45	0.49	1.05	0.44	-0.96	0.69
RORA	0.73	-0.3	-0.62	-0.29	-0.56	-0.3	0.46	-0.5	0	-0.54	-0.53	0	0.78
IL2RG	0.72	-1.3	-0.6	-1.17	-0.68	-1.25	0.7	0	0.63	-0.28	0	-1.13	1.18
CRIP1	0.72	-1.98	-0.6	-1	-1.05	0.7	0.86	0.64	0.95	0.31	-0.63	-0.6	0.33
SEPT6	0.71	-0.67	-0.32	-0.74	-0.31	-0.45	0.36	0.3	0.37	0.46	0	-0.32	0.61
LAT	0.71	-0.64	-0.52	-0.6	-0.61	-0.6	0.62	-0.45	0.56	-0.57	1.04	-0.56	0.96
LINC-PINT	0.7	-0.7	-0.43	-0.8	-0.41	-0.58	0.45	0	0	0.41	-0.44	-0.58	0.32
ZNF331	0.69	-1.07	0.46	-1.12	-1	-0.53	0.56	0	0	0.68	0.76	-1.03	0.3
PBX4	0.69	-0.4	-0.38	-0.36	-0.39	-0.38	0.28	-0.28	0	0	0	-0.38	0.72
GMFG	0.69	-0.94	0	-0.95	-0.39	0	0.6	0	0.61	0	0	0	0.71
PIK3IP1	0.69	-0.41	-0.38	-0.26	-0.51	-0.33	0.43	-0.45	0	-0.4	-0.37	-0.48	0.53
CCR6	0.69	-0.35	-0.27	-0.33	-0.32	-0.33	-0.26	0	0	0.5	-0.31	-0.32	0.89
ISG20	0.69	-0.95	-0.51	-0.58	0.47	-0.78	0.32	0	0.34	1.06	-1.23	-0.91	0.68
TUBA4A	0.68	-1.01	-0.87	-0.27	0	-0.9	0.46	-0.71	0.47	0.35	-0.93	-0.55	0
EZR	0.68	-1.5	-0.6	-0.74	-1.05	-1.3	0.3	0	0	1.08	-0.76	-0.92	0
FAAH2	0.68	0	0	0	0	0	0	0	0	0	0	0	0.54
RPS29	0.68	-0.76	-0.29	-0.41	-1.29	-0.9	0.46	0	0	-0.29	-0.31	-0.56	0
RNF19A	0.68	-0.54	-0.56	-0.44	-0.68	-0.48	0.48	-0.48	0.26	-0.26	0	0	0.33
ARID5A	0.67	-0.52	0	-0.64	-0.61	0	0.31	0	0	-0.31	0	-0.33	0.39
ITK	0.67	-0.42	-0.4	-0.4	-0.4	-0.4	0.35	-0.33	0.29	-0.37	0.45	-0.39	0.57
STK4	0.67	-0.72	-0.38	-0.64	-0.6	-0.67	0.4	0.49	0	0.42	0.25	-0.63	0.53
CDKN1B	0.67	-0.64	-0.42	-0.45	0	0	0.4	-0.27	0.3	-0.36	-0.46	-0.45	0.63
TAGAP	0.67	-0.88	0.31	-0.84	0	-0.84	0.44	0	0	0.47	-0.41	-0.82	0.26
RPL34	0.66	-0.3	-0.55	-0.64	-1.31	-0.45	-0.33	0	-0.57	0.83	0.49	-0.41	0
TRBC1	0.66	-0.64	-0.61	-0.61	-0.61	-0.61	0.55	-0.53	0.58	-0.6	-0.56	-0.6	0.67
CD7	0.66	-1.95	-1.91	-1.91	-1.91	-1.91	0.86	-1.42	0.76	-1.87	-1.59	-1.91	1.39
RAC2	0.66	-1.66	-0.72	-1.43	-1.05	-1.62	0.85	-0.62	0.95	0.45	0.93	-1.44	1.06
RPS25	0.65	-0.45	-0.52	-0.62	-1.32	-0.42	0.31	0	-0.26	0.8	0	-0.37	0
FCMR	0.65	-0.4	-0.43	-0.43	-0.45	0	0	-0.38	0	1.13	-0.44	-0.44	0.45
SH2D1A	0.65	-0.44	-0.42	-0.42	-0.41	-0.41	0.47	-0.36	0.44	-0.4	-0.39	-0.41	0.59
P2RY10	0.64	-0.41	-0.38	-0.39	-0.27	-0.39	0.26	0	0	-0.26	0	-0.38	0.56
CD48	0.64	-0.85	0.25	-0.81	-0.7	-0.8	0.35	0	0	0.93	0.26	-0.79	0.33
FAM177A1	0.63	-0.27	-0.42	-0.4	-0.69	-0.3	0.49	-0.27	0	-0.46	0	0	0
PASK	0.63	0	0	0	0	0	0	0	0	0	0	0	0
GZMM	0.63	-0.5	-0.48	-0.47	-0.47	-0.47	0.32	-0.41	0	-0.46	-0.45	-0.46	0.34
SKAP1	0.63	-0.56	-0.53	-0.51	-0.49	-0.52	0.43	-0.44	0.38	-0.31	0.38	-0.51	0.79
HSPA8	0.62	-0.34	-0.51	-1.15	-1.24	-0.26	0.47	0	0.58	-0.26	0	-0.58	0.45
FOXP3	0.62	0	0	0	0	0	0.47	0	0	0	0	0	1.96
GPR183	0.62	-1.16	1.51	-1.12	-0.98	-1.02	-0.55	1.65	0	-0.86	0	-1.1	0
CD52	0.62	-1.84	-0.84	-1.78	-1.68	-1.77	0.77	0	0.5	0.48	0.65	-1.6	0.51
TNFAIP3	0.62	-0.45	0.47	-0.88	-1.49	-0.3	0.26	0	0.47	-1.52	1.11	-0.45	0.48
TNIK	0.62	-0.29	-0.27	-0.26	-0.3	0	0	0	0	0	0.61	-0.27	0.57
GNG2	0.62	-0.76	-0.64	-0.94	-0.86	-0.81	0.6	0	0.6	0	-0.55	-0.7	0.89
CD247	0.62	-0.68	-0.65	-0.65	-0.65	-0.65	0.59	-0.55	0.61	-0.61	-0.61	-0.64	0.79
CAMK4	0.61	-0.31	-0.36	-0.35	-0.35	-0.3	0.31	-0.3	0.29	-0.28	-0.32	-0.33	0.26
ANKRD12	0.61	-0.41	0	-0.33	-0.56	-0.26	0.27	0	0	0	0	-0.37	0.39
EVL	0.61	-0.76	-0.52	-0.91	-0.95	-0.79	0.55	-0.58	0.58	0	-0.76	-0.69	0.44
UCP2	0.61	-1.19	0.41	-0.95	-0.92	-1.13	0.27	0.41	0	1.16	0	-1.06	1.09
IDS	0.61	-0.39	-0.37	-0.28	-0.72	0	0.27	0	0	0.53	0.93	-0.62	0.29
TIGIT	0.61	-0.93	-0.9	-0.89	-0.88	-0.89	0.67	-0.77	0.64	-0.85	-0.82	-0.88	1.17
PPP1R2	0.6	-0.6	-0.52	-0.45	-0.82	-0.47	0.3	0	0.38	0	0	-0.38	0.54
LIMD2	0.6	-0.66	-0.58	-1	-0.96	-0.59	0.48	0	0.37	1.47	-0.33	-0.91	0.63
ZAP70	0.6	-0.44	-0.43	-0.43	-0.42	-0.42	0.42	-0.36	0.43	-0.4	-0.4	-0.41	0.49
STK17B	0.6	-0.75	-0.43	-0.73	-0.73	-0.94	0.5	0	0.41	0	0.49	-1.02	0.95
RPS15A	0.6	-0.47	-0.82	-0.41	-1.39	-0.59	0.35	0	0	0.54	0	-0.34	0
PPP2R5C	0.6	-0.36	-0.26	-0.29	0	-0.31	0.28	0	0	0	0	0	0
SH2D2A	0.6	-0.94	-0.91	-0.9	-0.93	-0.91	0.66	-0.75	0.63	-0.8	0	-0.89	1.14
CDC42SE2	0.6	-0.49	-0.29	-0.39	-0.48	-0.44	0.35	0	0	0	0	-0.35	0.49
ACAP1	0.6	-0.68	-0.47	-0.64	-0.52	-0.65	0.36	0	0.37	0.33	0	-0.65	0.58
SEPT1	0.6	-0.66	-0.65	-0.64	-0.51	-0.61	0.6	-0.46	0.55	0.32	-0.27	-0.62	0.65
BIRC3	0.59	-1.04	0	-0.8	-0.75	-1.08	0.31	1.27	0	0.33	1.15	-0.85	0.95
WIPF1	0.59	-0.39	-0.38	-0.88	-0.74	-0.52	0.32	0	0.32	0.8	0	-0.58	0.43
CD69	0.59	-1.46	-0.91	-1.41	-1.22	-1.4	0.43	-0.49	0.54	-0.7	1.35	-1.33	0
CD3G	0.59	-0.76	-0.73	-0.73	-0.72	-0.72	0.75	-0.62	0.66	-0.71	-0.68	-0.71	0.74
SLC2A3	0.58	-0.42	0.33	-1.45	-1.38	0	0	0	-0.45	-0.43	0.82	0.64	0
PIK3R1	0.58	-0.4	-0.34	-0.59	-0.67	-0.3	0.3	-0.44	0	-0.41	0	-0.4	0
ELF1	0.58	-0.73	-0.32	-0.64	-0.83	-0.71	0.59	0	0	0.59	0.33	-0.49	0.38
CNOT6L	0.57	-0.4	-0.31	-0.39	-0.43	-0.36	0.4	0	0	0	0	0	0.32
TC2N	0.57	0	0	0.43	0	0	0.29	0	0	0	0	0	0
IKZF1	0.57	-0.44	0	-0.41	0	-0.41	0.25	0.3	0.32	0	0	-0.4	0.56
GPSM3	0.57	-0.71	0.34	-0.82	-0.62	-0.52	0.3	0	0.26	0.43	0	-0.66	0.45
TTC39C	0.57	-0.34	-0.34	-0.26	-0.47	-0.4	0.31	-0.32	0.28	-0.3	-0.36	-0.37	0.69
MBP	0.57	-0.54	0	-0.26	-0.53	-0.53	0.36	0	0	0.42	0	-0.5	0
EEF1A1	0.57	-0.42	-0.61	-0.68	-1.4	0	-0.35	0.28	-0.59	0.66	0.39	-0.34	0
PTGER4	0.56	-0.4	0.27	-0.31	-0.52	-0.45	0.29	0.26	0	-0.35	0	-0.43	0
ITM2A	0.56	-0.96	-1.02	-1.02	-0.84	-1	0.65	-0.89	0.64	-0.96	0	0.51	0.37
STAT4	0.56	-0.43	0	-0.42	-0.4	-0.4	0.36	0	0	-0.26	0	-0.41	0.53
GPRIN3	0.56	-0.45	0	-0.43	-0.4	-0.39	0.31	0	0.26	-0.37	-0.32	-0.38	0.54
DUSP4	0.56	-1.57	-0.89	-1.51	-1.35	-1.45	1.01	0	1.09	-0.78	-0.93	-1.29	1.23
GIMAP4	0.56	-0.5	0	-0.47	-0.47	-0.47	0.37	-0.36	0	-0.46	-0.45	0.29	0
GK	0.56	-0.5	0.84	-0.46	-0.65	-0.49	0	0.52	0	-0.5	0	-0.61	0.89
HLA-A	0.56	-0.33	-0.49	-1.01	-1.82	0	0.35	-0.39	0.44	-0.98	-0.38	0	0.9
TCF7	0.56	0	0	0	0	0	0	0	0	0	0	0	0
FAM46C	0.56	-0.71	-0.7	-0.64	0.48	-0.65	0.47	-0.38	0	0.39	-0.54	-0.68	0.59
RPS3	0.56	-0.44	-0.79	-0.42	-1.59	-0.49	0	0	-0.25	0.58	0	0	0
RPL39	0.56	-0.51	-0.4	-0.51	-1.54	-0.58	0	0	-0.39	0.79	0	-0.38	0
GLTSCR2	0.56	-0.38	-0.61	-0.36	-0.84	0	-0.33	0	-0.34	0.74	0	-0.27	0
PABPC1	0.56	-0.83	-0.32	0.55	-1.55	-0.53	-0.34	0.3	-0.48	0.52	0	-0.29	0
RPS12	0.55	-0.36	-0.7	0.54	-1.6	-0.59	-0.26	0	-0.55	0.64	0	0	0
RPL21	0.55	-0.47	-0.44	-0.57	-1.13	-0.4	0.28	0	0	0.47	0	-0.34	0
STK17A	0.55	-0.46	-0.74	-0.27	-0.89	-0.58	0.29	-0.48	0.39	0.54	-0.46	-0.55	0.28
CORO1A	0.55	-1.71	0	-1.63	-1.5	-1.64	1.03	0	1.09	1.27	-0.9	-1.61	0.93
TNFRSF25	0.54	-0.27	-0.26	-0.25	-0.27	-0.26	0.33	0	0	-0.26	0	0	0.69
FAS	0.54	-0.41	-0.37	-0.45	-0.48	0	0.32	0	0.33	-0.29	-0.4	-0.45	0.72
SATB1	0.54	-0.33	0	-0.4	-0.43	-0.38	0.29	0	0	0	0	-0.38	0.81
RPL32	0.54	-0.34	-0.63	-0.48	-1.45	-0.37	0	0	-0.38	0.8	0	0	0
ICAM3	0.54	-0.53	-0.49	-0.61	0	-0.56	0.4	0	0	0.4	0	-0.51	0.74
SMCHD1	0.54	-0.45	-0.36	-0.44	-0.51	-0.34	0.32	0	0.3	0.5	0	-0.33	0.43
PIM2	0.54	-0.76	-0.62	-0.73	0.84	-0.69	0	0	0	0.51	-0.5	-0.74	1.13
RPL28	0.54	-0.43	-0.36	-0.28	-1.53	-0.55	0.32	0	0	0.45	0	-0.34	0
RPS14	0.54	-0.29	-0.53	-0.41	-1.22	-0.37	0	0	-0.44	0.73	0	-0.28	0
FLT3LG	0.54	-0.3	-0.29	-0.28	-0.34	0	0	-0.27	0	-0.3	0	0	0.32
RPL30	0.53	-0.56	-0.73	0.62	-1.64	-0.52	-0.36	0	-0.56	0.7	0	-0.37	0
CORO1B	0.53	-0.36	-0.41	-0.25	-0.69	0	0.36	0	0	0	-0.47	-0.33	0.96
CACYBP	0.53	-0.62	-0.63	-0.6	-1.13	-0.63	0.57	-0.33	0.65	-0.42	-0.51	-0.72	0.89
UBE2B	0.53	-0.33	-0.33	-0.33	-0.81	0	0.31	0	0	0	0	-0.41	0.59
CCR4	0.53	0	0	0	0	0	0	0	0	0	0	0	0.45
TPT1	0.53	-0.26	0.37	-0.3	-0.95	0	-0.33	0	-0.44	0.35	0	0	0
SYTL3	0.52	-0.68	-0.43	-0.64	-0.64	-0.66	0.35	0	0.32	-0.62	0.82	-0.63	0.64
EMB	0.52	-0.43	-0.28	-0.45	-0.37	-0.45	0.38	0	0.34	0	-0.26	-0.44	0.33
DOK2	0.52	-0.86	0	-0.83	-0.81	-0.82	0.55	0	0.47	-0.76	0	-0.81	0.71
HLA-E	0.52	-0.75	-0.27	-0.64	-1.08	-0.31	0.41	-0.51	0	-0.33	0	0.5	0.52
RPL13	0.52	-0.28	-0.7	0	-1.37	-0.33	-0.28	0	-0.52	0.62	0	0	0
RPL3	0.52	-0.28	-0.76	-0.39	-1.01	0	-0.27	0	-0.47	0.73	0	0	0
CD27	0.52	-0.76	-0.73	-0.73	0.4	-0.72	0.57	-0.58	0.26	0.33	-0.68	-0.72	1.19
CD44	0.51	-0.66	0.68	-0.57	-0.78	-0.28	0.39	0	0	-1.08	0.99	-1.11	0
SOD1	0.51	-0.55	-0.8	-0.46	-1.38	-0.33	0.49	-0.74	0.4	-0.43	-0.41	-0.44	0.74
APBB1IP	0.51	-0.57	0	-0.6	-0.55	-0.58	0.4	0	0.38	0	-0.32	-0.58	0.65
TMSB4X	0.51	-0.49	0.34	-1.15	-2.22	-0.41	0.59	0.83	0.56	0	-0.37	0	0.49
RARRES3	0.51	-0.47	-0.44	-0.66	-0.95	-0.32	0.5	-0.71	0.41	-0.99	0	-0.88	0
SELPLG	0.5	-0.5	0	-0.49	-0.29	-0.49	0.36	0	0.33	-0.41	0	-0.48	0.72
ADGRE5	0.5	-0.8	0	-0.8	-0.69	-0.45	0.34	0	0.47	-0.6	0	-0.85	0
RPL14	0.5	0	-0.59	-0.45	-1.28	0	0	0	-0.27	0.26	0.33	0	0
RPS27A	0.5	-0.4	-0.8	0.47	-1.51	-0.38	-0.26	0	-0.49	0.66	0	-0.28	0
AC090498	0.5	-0.35	-0.5	0	-1.16	-0.41	0.25	0	-0.35	0.62	0	-0.26	0
AIM1	0.5	-0.27	0	0	-0.28	-0.27	0	0.26	0	0	0	0	0
G3BP2	0.5	-0.55	-0.57	-0.65	-0.76	-0.52	0.3	0	0	0	0	-0.4	0.74
CCNH	0.49	0	0	-0.39	-0.38	0	0.39	0	0	0	0	0	0
PRKCH	0.49	-0.49	-0.38	-0.34	-0.47	-0.46	0.28	-0.35	0.28	-0.42	-0.42	0.28	0.46
HCLS1	0.49	-0.97	0.35	-0.74	-0.64	-0.92	0.49	0.32	0.38	0.76	0	-0.53	0.67
KLF6	0.49	-0.59	0.51	-0.31	-1	0	0.29	0	0.28	-0.54	0.6	0	0
CD37	0.49	-1.45	-0.53	-1.39	-1.13	-1.39	0.26	-0.3	0	1.38	0.74	-1.38	0.33
FAM107B	0.49	-0.36	0	-0.33	0	-0.29	0.26	0	0.26	0.37	0	-0.34	0.36
SLA	0.49	-0.55	0	-0.53	-0.49	-0.52	0.53	-0.38	0.53	-0.48	-0.31	-0.51	0.58
RPS21	0.49	-0.65	-0.45	0.26	-1.45	-0.73	0	0	0	0.72	0	-0.35	0
CST7	0.49	-1.26	-0.6	-1.36	-1.35	-1.35	0.53	0.92	0.35	-1.32	-0.95	-1.34	0.8
MGAT4A	0.49	-0.42	0	-0.29	-0.37	-0.39	0.37	-0.25	0	0	0	0	0
TMEM173	0.49	-0.3	-0.27	-0.3	-0.53	0	0	-0.3	0	-0.53	0	0.55	0.7
RPS28	0.49	-0.45	-0.29	-0.53	-1.22	-0.46	0	0	-0.4	0.67	0	0	0
FAM129A	0.49	-0.49	0	-0.26	-0.42	0	0.34	0.26	0.27	-0.39	-0.36	-0.36	0.57
CLDND1	0.49	-0.41	-0.52	-0.32	-0.71	0	0.35	-0.34	0	-0.29	-0.33	0	0.31
RNF125	0.48	-0.27	0	-0.26	-0.27	-0.26	0.3	0	0	-0.26	0	0	0
DDX24	0.48	-0.35	-0.34	-0.32	-0.81	0	0.27	-0.27	0	0	0	0	0.4
ZC3H12D	0.48	0	0	0	0	0	0	0	0	0	0	0	0.55
ARHGAP15	0.48	-0.44	-0.29	-0.43	0	0.31	0.36	0	0.35	0.34	0.29	-0.41	0.3
RPLP2	0.48	-0.3	-0.38	-0.42	-1.34	-0.39	0	0	0	0.77	0	0	0
CD96	0.48	-0.62	-0.59	-0.58	-0.59	-0.58	0.58	-0.51	0.56	-0.54	-0.55	-0.58	0.41
RPL11	0.48	-0.36	-0.52	-0.3	-1.41	-0.37	0	0	-0.41	0.74	0.36	-0.27	0
PDE4B	0.48	-0.76	0.49	-0.84	0	-0.73	0.39	0.34	0	-0.33	-0.67	-0.38	0.3
RPS6	0.48	-0.31	-0.66	-0.38	-1.39	-0.43	0	0	-0.33	0.3	0	0	0
HNRNPLL	0.48	-0.5	-0.26	-0.31	-0.52	0	0.37	0	0.41	-0.5	-0.38	0	0.68
ETS1	0.48	-0.27	-0.54	-0.54	-0.55	0	0.32	-0.39	0.29	-0.31	-0.48	0.27	0.44
SAMSN1	0.48	-1.21	0.55	-1.16	-0.84	-1.15	0.56	0.39	0.57	0	0.92	-1.15	0.72
RPL10	0.47	-0.41	-0.55	-0.34	-1.03	0	-0.32	0	-0.52	0.56	0.32	-0.33	0
RPS3A	0.47	0.37	-0.68	-0.37	-1.4	-0.25	-0.26	0	-0.46	0.72	0	0	0
SYNE2	0.47	-0.64	-0.7	0.35	-0.57	0	0.33	-0.62	0.31	0.63	-0.64	0.28	0
DDIT4	0.47	-0.55	-0.31	-0.3	-0.82	-0.65	0.34	0	0.34	-0.83	0.95	-0.48	0.47
SEPT9	0.47	-0.54	-0.27	-0.3	-0.67	0	0.3	0	0	0.43	0	0	0.28
MYADM	0.47	0.49	-0.34	-0.84	-0.92	0.38	-0.42	0	-0.3	-0.61	0.81	0	-0.32
RPSA	0.47	-0.41	-0.63	-0.52	-1.41	-0.52	0.41	0	0	0.28	0	-0.34	0
HSPH1	0.47	-0.35	0.44	-1.13	-1.13	-0.48	0.34	0	0.58	0	0.39	-0.64	0.3
GATA3	0.47	-0.57	-0.55	-0.54	-0.55	-0.55	0.52	-0.42	0.46	-0.54	-0.52	-0.54	0.91
ARHGEF1	0.47	-0.44	-0.29	-0.45	-0.59	-0.38	0.35	-0.27	0.45	0	0	0	0.32
EPB41	0.46	0	0	0	0	0	0	0	0	0	0	0	0
LAPTM5	0.46	-1.81	1.17	-1.76	-1.62	-1.75	0.32	0	0	1.38	0.81	-1.15	0.45
RPS4X	0.46	-0.33	-0.81	-0.37	-1.12	-0.28	0	0	-0.37	0.51	0	0	0
RPL9	0.46	-0.35	-0.36	-0.35	-1.26	-0.27	0	0	-0.52	0.71	0	0	0
RHBDD2	0.46	-0.34	-0.29	0.79	-0.75	-0.31	0.3	-0.47	0	-0.58	0.71	-0.39	0.82
CLEC2D	0.46	-0.62	-0.58	-0.61	-0.59	-0.6	0.6	-0.42	0.68	0.45	-0.58	-0.59	0.64
B2M	0.45	-0.38	-0.28	-1.03	-0.87	0.3	0.38	0	0.39	-0.92	0	-0.31	0.69
TSPYL2	0.45	0.66	-0.31	-0.55	-0.6	0	0.42	0	0	-0.34	0.71	-0.41	0.35
EEF1B2	0.45	0.4	-0.41	-0.6	-0.64	-0.4	-0.32	0	-0.39	0.29	0	0	0
RHOG	0.45	-0.47	0.48	-0.59	-0.89	-0.4	0.28	0.44	0	0.29	0.68	-0.37	0.77
CTLA4	0.45	-0.65	-0.61	-0.62	-0.61	-0.61	0.63	-0.5	0.59	-0.6	-0.56	-0.61	1.46
SELK	0.45	-0.41	0	-0.32	0.33	0	0.36	0	0	0.29	1	-0.36	0
CD4	0.45	-0.33	0.74	-0.32	-0.32	0	-0.29	0	0	-0.31	0	-0.31	0.83
JAK3	0.45	-0.35	0	-0.37	-0.33	0	0.37	0	0	0	0	0	0.5
PER1	0.45	-0.31	0	-0.33	-0.45	0	0.33	0	0	0	0.25	0	0
FAU	0.44	-0.43	-0.32	-0.43	-1.07	-0.33	0.27	0	0	0.72	0.4	-0.32	0
FKBP5	0.44	-0.28	0	-0.33	-0.37	0	0.29	0	0.3	0	0	0	0
BCAS2	0.44	-0.46	0	-0.29	0	-0.29	0.28	0	0	0.45	0	-0.45	0
GYPC	0.44	0.49	-0.37	-0.92	-0.3	0	0.3	-0.27	0	0.4	-0.38	0	0.32
HLA-B	0.44	-0.77	0	-1.31	-0.84	0	0.35	0	0.47	-0.53	-0.27	-0.31	0.71
MCL1	0.44	-0.48	0.57	-0.49	-0.79	-0.33	0.33	0	0	-0.36	0.44	-0.4	0
RPL19	0.44	-0.35	-0.53	-0.27	-1.4	-0.32	0	0	-0.46	0.3	0	0	0
RPL36AL	0.44	-0.33	-0.32	-0.53	-0.49	-0.27	0.34	0	0	0	0.51	-0.26	0.31
ELOVL5	0.44	-0.26	-0.32	-0.47	-0.66	0	0.28	0	0	0.26	0.39	0	0.47
SMAP2	0.44	-0.42	0	-0.41	0	-0.31	0	0	0	0.7	0	-0.42	0.46
NFATC2	0.44	-0.28	-0.32	-0.44	-0.35	0	0.5	0	0	0	0	0	0
RHOF	0.43	-0.57	-0.29	-0.37	-0.51	-0.55	0.37	0.5	0.35	0	0	-0.52	0.6
EEF1D	0.43	-0.26	-0.61	-0.46	-0.82	0	0	-0.27	0	0.29	0	-0.26	0
SOCS1	0.43	-0.52	-0.39	-0.43	-0.62	-0.25	0.28	0.33	0	0.67	1.28	-0.52	0.38
RNF149	0.43	-0.3	0.44	-0.36	-0.63	-0.38	0.3	0	0	-0.5	0	-0.42	0
